rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,12,12,1007,상행,도봉산행 - 반포방면,1007000735,1007000733,1007000734,고속터미널,3,01000도봉산0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,60,7348,1007000710,도봉산,2025-05-21 20:54:59,고속터미널 도착,고속터미널,1,0
2,12,12,1003,상행,대화행 - 잠원방면,1003000340,1003000338,1003000339,고속터미널,3,01002대화0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,236,3374,1003000309,대화,2025-05-21 20:54:36,3분 56초 후 (남부터미널),남부터미널,99,0
3,12,12,1009,하행,김포공항행 - 신반포방면 (급행),1009000924,1009000922,1009000923,고속터미널,3,01004김포공항1,"1003,1007,1009","1003000339,1007000734,1009000923",급행,380,9691,1009000902,김포공항,2025-05-21 20:55:18,6분 20초 후 (선정릉),선정릉,99,0
4,12,12,1009,하행,개화행 - 신반포방면,1009000924,1009000922,1009000923,고속터미널,3,02002개화0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,235,9209,1009000901,개화,2025-05-21 20:55:18,3분 55초 후 (신논현),신논현,99,0
5,12,12,1007,상행,도봉산행 - 반포방면,1007000735,1007000733,1007000734,고속터미널,3,02003도봉산0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,480,7350,1007000710,도봉산,2025-05-21 20:54:59,8분 후 (남성),남성,99,0
6,12,12,1003,상행,대화행 - 잠원방면,1003000340,1003000338,1003000339,고속터미널,3,02005대화0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,625,3376,1003000309,대화,2025-05-21 20:54:36,10분 25초 후 (도곡),도곡,99,0
7,12,12,1007,하행,온수행 - 내방방면,1007000733,1007000735,1007000734,고속터미널,3,11000온수0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,60,7367,1007000750,온수,2025-05-21 20:55:10,고속터미널 도착,고속터미널,1,0
8,12,12,1003,하행,오금행 - 교대방면,1003000338,1003000340,1003000339,고속터미널,3,11002오금0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,265,3351,1003000352,오금,2025-05-21 20:54:55,4분 25초 후 (신사),신사,99,0
9,12,12,1009,상행,중앙보훈병원행 - 사평방면 (급행),1009000922,1009000924,1009000923,고속터미널,3,11006중앙보훈병원1,"1003,1007,1009","1003000339,1007000734,1009000923",급행,545,9700,1009000938,중앙보훈병원,2025-05-21 20:55:18,9분 5초 후 (노량진),노량진,99,0
10,12,12,1007,하행,석남행 - 내방방면,1007000733,1007000735,1007000734,고속터미널,3,12003석남0,"1003,1007,1009","1003000339,1007000734,1009000923",일반,300,7369,1007000761,석남,2025-05-21 20:55:10,5분 후 (학동),학동,99,0
