rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01003광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[3]번째 전역 (성균관대),성균관대,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01007청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[7]번째 전역 (병점),병점,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02004광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (화서),화서,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02016청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[16]번째 전역 (성환),성환,99,0
5,7,7,1001,하행,천안행 - 당정방면,1001080149,1001080151,1001080150,군포,1,11001천안0,1001,1001080150,일반,0,0693,1001080169,천안,2025-05-21 20:54:17,전역 도착,금정,5,0
6,7,7,1001,하행,신창행 - 당정방면 (급행),1001080149,1001080151,1001080150,군포,1,11008신창1,1001,1001080150,급행,0,1951,1001080176,신창,2025-05-21 20:47:22,[8]번째 전역 (가산디지털단지),가산디지털단지,99,0
7,7,7,1001,하행,서동탄행 - 당정방면,1001080149,1001080151,1001080150,군포,1,12003서동탄0,1001,1001080150,일반,0,0495,1001801571,서동탄,2025-05-21 20:54:17,[3]번째 전역 (안양),안양,99,0
1,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,01003광운대0,1001,1001080150,일반,0,0496,1001000119,광운대,2025-05-21 20:53:33,[3]번째 전역 (성균관대),성균관대,99,0
2,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,01007청량리1,1001,1001080150,급행,0,1946,1001000124,청량리,2025-05-21 20:49:47,[7]번째 전역 (병점),병점,99,0
3,7,7,1001,상행,광운대행 - 금정방면,1001080151,1001080149,1001080150,군포,1,02004광운대0,1001,1001080150,일반,0,0694,1001000119,광운대,2025-05-21 20:53:33,[4]번째 전역 (화서),화서,99,0
4,7,7,1001,상행,청량리행 - 금정방면 (급행),1001080151,1001080149,1001080150,군포,1,02016청량리1,1001,1001080150,급행,0,1948,1001000124,청량리,2025-05-21 20:49:47,[16]번째 전역 (성환),성환,99,0
