rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,01003성수0,1002,1002000211,일반,260,2429,1002000211,성수,2025-05-21 20:55:05,4분 20초 후,강변,99,0
2,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,02005성수0,1002,1002000211,일반,470,2431,1002000211,성수,2025-05-21 20:55:05,7분 50초 후,잠실,99,0
3,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,11042성수0,1002,1002000211,일반,140,3412,1002000211,성수,2025-05-21 20:55:05,2분 20초 후,한양대,99,0
4,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,12041성수0,1002,1002000211,일반,240,8414,1002000211,성수,2025-05-21 20:55:05,4분 후,왕십리,99,0
1,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,01002성수0,1002,1002000211,일반,210,2429,1002000211,성수,2025-05-21 20:55:25,3분 30초 후,구의,99,0
2,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,02004성수0,1002,1002000211,일반,390,2431,1002000211,성수,2025-05-21 20:55:25,6분 30초 후,잠실나루,99,0
3,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,11043성수0,1002,1002000211,일반,60,3412,1002000211,성수,2025-05-21 20:55:25,1분 후,뚝섬,99,0
4,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,12041성수0,1002,1002000211,일반,230,8414,1002000211,성수,2025-05-21 20:55:25,3분 50초 후,왕십리,99,0
1,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,01002성수0,1002,1002000211,일반,210,2429,1002000211,성수,2025-05-21 20:55:30,3분 30초 후,구의,99,0
2,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,02004성수0,1002,1002000211,일반,390,2431,1002000211,성수,2025-05-21 20:55:30,6분 30초 후,잠실나루,99,0
3,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,11043성수0,1002,1002000211,일반,60,3412,1002000211,성수,2025-05-21 20:55:30,1분 후,뚝섬,99,0
4,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,12041성수0,1002,1002000211,일반,230,8414,1002000211,성수,2025-05-21 20:55:30,3분 50초 후,왕십리,99,0
1,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,01002성수0,1002,1002000211,일반,210,2429,1002000211,성수,2025-05-21 20:55:45,3분 30초 후,구의,99,0
2,4,4,1002,외선,성수행 - 뚝섬방면,1002000212,1002000210,1002000211,성수,1,02004성수0,1002,1002000211,일반,390,2431,1002000211,성수,2025-05-21 20:55:45,6분 30초 후,잠실나루,99,0
3,4,4,1002,내선,성수행 - 건대입구방면,1002000210,1002000212,1002000211,성수,1,11043성수0,1002,1002000211,일반,60,3412,1002000211,성수,2025-05-21 20:55:45,1분 후,뚝섬,99,0
