rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01001광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:53:10,전역 도착,구로,5,0
2,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,01001성수0,"1001,1002","1001000140,1002000234",일반,120,2449,1002000211,성수,2025-05-21 20:55:05,전역 출발,문래,3,0
3,12,12,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01001용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:52:52,전역 도착,구로,5,0
4,12,12,1001,상행,청량리행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02002청량리0,"1001,1002","1001000140,1002000234",일반,0,1944,1001000124,청량리,2025-05-21 20:52:52,[2]번째 전역 (가산디지털단지),가산디지털단지,99,0
5,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,02004성수0,"1001,1002","1001000140,1002000234",일반,420,8451,1002000211,성수,2025-05-21 20:55:05,7분 후,합정,99,0
6,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02005광운대0,"1001,1002","1001000140,1002000234",일반,0,0692,1001000119,광운대,2025-05-21 20:53:10,[5]번째 전역 (석수),석수,99,0
7,12,12,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,11000동인천1,"1001,1002","1001000140,1002000234",급행,0,1179,1001000160,동인천,2025-05-21 20:54:02,신도림 도착,신도림,1,0
8,12,12,1001,하행,인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11000인천0,"1001,1002","1001000140,1002000234",일반,0,0195,1001000161,인천,2025-05-21 20:54:16,신도림 도착,신도림,1,0
9,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,11001성수0,"1001,1002","1001000140,1002000234",일반,140,6430,1002000211,성수,2025-05-21 20:55:05,전역 출발,대림,3,0
10,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12004성수0,"1001,1002","1001000140,1002000234",일반,450,2436,1002000211,성수,2025-05-21 20:55:05,7분 30초 후,신림,99,0
11,12,12,1001,하행,인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,12004인천0,"1001,1002","1001000140,1002000234",일반,0,0197,1001000161,인천,2025-05-21 20:54:16,[4]번째 전역 (노량진),노량진,99,0
12,12,12,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,12005동인천1,"1001,1002","1001000140,1002000234",급행,0,1183,1001000160,동인천,2025-05-21 20:54:02,[5]번째 전역 (용산),용산,99,0
1,10,10,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01000용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:55:24,신도림 진입,신도림,0,0
2,10,10,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01001광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:53:10,전역 도착,구로,5,0
3,10,10,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,01001성수0,"1001,1002","1001000140,1002000234",일반,110,2449,1002000211,성수,2025-05-21 20:55:25,전역 출발,문래,3,0
4,10,10,1001,상행,청량리행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02002청량리0,"1001,1002","1001000140,1002000234",일반,0,1944,1001000124,청량리,2025-05-21 20:55:24,[2]번째 전역 (가산디지털단지),가산디지털단지,99,0
5,10,10,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,02004성수0,"1001,1002","1001000140,1002000234",일반,420,8451,1002000211,성수,2025-05-21 20:55:25,7분 후,합정,99,0
6,10,10,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02005광운대0,"1001,1002","1001000140,1002000234",일반,0,0692,1001000119,광운대,2025-05-21 20:53:10,[5]번째 전역 (석수),석수,99,0
7,10,10,1001,하행,동인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11000동인천0,"1001,1002","1001000140,1002000234",일반,0,1177,1001000160,동인천,2025-05-21 20:55:17,신도림 도착,개봉,1,0
8,10,10,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,11001성수0,"1001,1002","1001000140,1002000234",일반,140,6430,1002000211,성수,2025-05-21 20:55:25,전역 출발,대림,3,0
9,10,10,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,12000동인천1,"1001,1002","1001000140,1002000234",급행,0,1179,1001000160,동인천,2025-05-21 20:55:17,신도림 도착,신도림,1,0
10,10,10,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12004성수0,"1001,1002","1001000140,1002000234",일반,450,2436,1002000211,성수,2025-05-21 20:55:25,7분 30초 후,신림,99,0
1,12,12,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01000용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:55:37,신도림 도착,신도림,1,0
2,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01001광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:53:10,신도림 진입,구로,0,0
3,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,01001성수0,"1001,1002","1001000140,1002000234",일반,110,2449,1002000211,성수,2025-05-21 20:55:30,전역 출발,문래,3,0
4,12,12,1001,상행,청량리행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02002청량리0,"1001,1002","1001000140,1002000234",일반,0,1944,1001000124,청량리,2025-05-21 20:55:37,[2]번째 전역 (가산디지털단지),가산디지털단지,99,0
5,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,02004성수0,"1001,1002","1001000140,1002000234",일반,420,8451,1002000211,성수,2025-05-21 20:55:30,7분 후,합정,99,0
6,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02005광운대0,"1001,1002","1001000140,1002000234",일반,0,0692,1001000119,광운대,2025-05-21 20:53:10,[5]번째 전역 (석수),석수,99,0
7,12,12,1001,하행,동인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11000동인천0,"1001,1002","1001000140,1002000234",일반,0,1177,1001000160,동인천,2025-05-21 20:55:17,신도림 도착,개봉,1,0
8,12,12,1001,하행,서동탄행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11001서동탄0,"1001,1002","1001000140,1002000234",일반,0,0497,1001801571,서동탄,2025-05-21 20:55:34,전역 진입,영등포,4,0
9,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,11001성수0,"1001,1002","1001000140,1002000234",일반,140,6430,1002000211,성수,2025-05-21 20:55:30,전역 출발,대림,3,0
10,12,12,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,12000동인천1,"1001,1002","1001000140,1002000234",급행,0,1179,1001000160,동인천,2025-05-21 20:55:17,신도림 도착,신도림,1,0
11,12,12,1001,하행,광명행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,12001광명0,"1001,1002","1001000140,1002000234",일반,0,7035,1001075410,광명,2025-05-21 20:55:34,전역 도착,영등포,5,0
12,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12004성수0,"1001,1002","1001000140,1002000234",일반,450,2436,1002000211,성수,2025-05-21 20:55:30,7분 30초 후,신림,99,0
1,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01000광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:55:38,신도림 진입,신도림,0,0
2,12,12,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01000용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:55:37,신도림 도착,신도림,1,0
3,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,01001성수0,"1001,1002","1001000140,1002000234",일반,110,2449,1002000211,성수,2025-05-21 20:55:45,전역 출발,문래,3,0
4,12,12,1001,상행,양주행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02003양주0,"1001,1002","1001000140,1002000234",일반,0,0196,1001000107,양주,2025-05-21 20:55:38,[3]번째 전역 (역곡),역곡,99,0
5,12,12,1001,상행,용산행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02003용산0,"1001,1002","1001000140,1002000234",일반,0,1170,1001000135,용산,2025-05-21 20:55:37,[3]번째 전역 (역곡),역곡,99,0
6,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,02004성수0,"1001,1002","1001000140,1002000234",일반,410,8451,1002000211,성수,2025-05-21 20:55:45,6분 50초 후,합정,99,0
7,12,12,1001,하행,동인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11000동인천0,"1001,1002","1001000140,1002000234",일반,0,1177,1001000160,동인천,2025-05-21 20:55:46,신도림 도착,개봉,1,0
8,12,12,1001,하행,서동탄행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11001서동탄0,"1001,1002","1001000140,1002000234",일반,0,0497,1001801571,서동탄,2025-05-21 20:55:34,전역 진입,영등포,4,0
9,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,11001성수0,"1001,1002","1001000140,1002000234",일반,140,6430,1002000211,성수,2025-05-21 20:55:45,전역 출발,대림,3,0
10,12,12,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,12000동인천1,"1001,1002","1001000140,1002000234",급행,0,1179,1001000160,동인천,2025-05-21 20:55:46,신도림 진입,신도림,0,0
11,12,12,1001,하행,광명행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,12001광명0,"1001,1002","1001000140,1002000234",일반,0,7035,1001075410,광명,2025-05-21 20:55:34,전역 도착,영등포,5,0
12,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12004성수0,"1001,1002","1001000140,1002000234",일반,440,2436,1002000211,성수,2025-05-21 20:55:45,7분 20초 후,신림,99,0
1,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01000광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:55:38,신도림 진입,신도림,0,0
2,12,12,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01000용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:55:37,신도림 도착,신도림,1,0
3,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,01001성수0,"1001,1002","1001000140,1002000234",일반,110,2449,1002000211,성수,2025-05-21 20:55:55,전역 출발,문래,3,0
4,12,12,1001,상행,청량리행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02002청량리0,"1001,1002","1001000140,1002000234",일반,0,1944,1001000124,청량리,2025-05-21 20:55:37,[2]번째 전역 (가산디지털단지),가산디지털단지,99,0
5,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,02004성수0,"1001,1002","1001000140,1002000234",일반,410,8451,1002000211,성수,2025-05-21 20:55:55,6분 50초 후,합정,99,0
6,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02005광운대0,"1001,1002","1001000140,1002000234",일반,0,0692,1001000119,광운대,2025-05-21 20:55:38,[5]번째 전역 (석수),석수,99,0
7,12,12,1001,하행,동인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11000동인천0,"1001,1002","1001000140,1002000234",일반,0,1177,1001000160,동인천,2025-05-21 20:55:46,신도림 도착,개봉,1,0
8,12,12,1001,하행,서동탄행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11001서동탄0,"1001,1002","1001000140,1002000234",일반,0,0497,1001801571,서동탄,2025-05-21 20:55:59,전역 도착,영등포,5,0
9,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,11001성수0,"1001,1002","1001000140,1002000234",일반,140,6430,1002000211,성수,2025-05-21 20:55:55,전역 출발,대림,3,0
10,12,12,1001,하행,광명행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,12001광명0,"1001,1002","1001000140,1002000234",일반,0,7035,1001075410,광명,2025-05-21 20:55:59,전역 도착,영등포,5,0
11,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12004성수0,"1001,1002","1001000140,1002000234",일반,440,2436,1002000211,성수,2025-05-21 20:55:55,7분 20초 후,신림,99,0
12,12,12,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,12005동인천1,"1001,1002","1001000140,1002000234",급행,0,1183,1001000160,동인천,2025-05-21 20:55:46,[5]번째 전역 (용산),용산,99,0
1,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01000광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:55:38,신도림 진입,신도림,0,0
2,12,12,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01000용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:55:37,신도림 도착,신도림,1,0
3,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,01001성수0,"1001,1002","1001000140,1002000234",일반,110,2449,1002000211,성수,2025-05-21 20:56:05,신도림 진입,문래,0,0
4,12,12,1001,상행,청량리행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02002청량리0,"1001,1002","1001000140,1002000234",일반,0,1944,1001000124,청량리,2025-05-21 20:55:37,[2]번째 전역 (가산디지털단지),가산디지털단지,99,0
5,12,12,1002,외선,성수행 - 대림방면,1002000235,1002000233,1002000234,신도림,2,02004성수0,"1001,1002","1001000140,1002000234",일반,410,8451,1002000211,성수,2025-05-21 20:56:05,6분 50초 후,합정,99,0
6,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,02005광운대0,"1001,1002","1001000140,1002000234",일반,0,0692,1001000119,광운대,2025-05-21 20:55:38,[5]번째 전역 (석수),석수,99,0
7,12,12,1001,하행,동인천행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11000동인천0,"1001,1002","1001000140,1002000234",일반,0,1177,1001000160,동인천,2025-05-21 20:55:46,신도림 도착,개봉,1,0
8,12,12,1001,하행,서동탄행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,11001서동탄0,"1001,1002","1001000140,1002000234",일반,0,0497,1001801571,서동탄,2025-05-21 20:55:59,전역 도착,영등포,5,0
9,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,11001성수0,"1001,1002","1001000140,1002000234",일반,140,6430,1002000211,성수,2025-05-21 20:56:05,전역 출발,대림,3,0
10,12,12,1001,하행,광명행 - 구로방면,1001000139,1001000141,1001000140,신도림,2,12001광명0,"1001,1002","1001000140,1002000234",일반,0,7035,1001075410,광명,2025-05-21 20:55:59,전역 도착,영등포,5,0
11,12,12,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12004성수0,"1001,1002","1001000140,1002000234",일반,440,2436,1002000211,성수,2025-05-21 20:56:05,7분 20초 후,신림,99,0
12,12,12,1001,하행,동인천행 - 구로방면 (급행),1001000139,1001000141,1001000140,신도림,2,12005동인천1,"1001,1002","1001000140,1002000234",급행,0,1183,1001000160,동인천,2025-05-21 20:55:46,[5]번째 전역 (용산),용산,99,0
1,12,12,1001,상행,광운대행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01000광운대0,"1001,1002","1001000140,1002000234",일반,0,0690,1001000119,광운대,2025-05-21 20:55:38,신도림 도착,신도림,1,0
2,12,12,1001,상행,용산행 - 영등포방면 (급행),1001000141,1001000139,1001000140,신도림,2,01000용산1,"1001,1002","1001000140,1002000234",급행,0,1168,1001000135,용산,2025-05-21 20:55:37,신도림 도착,신도림,1,0
