rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,01003응암순환(상선)0,1006,1006000639,일반,360,6292,1006000610,응암순환(상선),2025-05-21 20:54:59,6분 후 (상월곡(한국과학기술연구원)),상월곡(한국과학기술연구원),99,0
2,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,02008응암순환(상선)0,1006,1006000639,일반,840,6294,1006000610,응암순환(상선),2025-05-21 20:54:59,14분 후 (봉화산),봉화산,99,0
3,4,4,1006,하행,봉화산행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,11001봉화산0,1006,1006000639,일반,120,6275,1006000647,봉화산,2025-05-21 20:55:10,전역 도착,보문,5,0
4,4,4,1006,하행,신내행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,12005신내0,1006,1006000639,일반,540,6277,1006000648,신내,2025-05-21 20:55:10,9분 후 (청구),청구,99,0
1,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,01003응암순환(상선)0,1006,1006000639,일반,360,6292,1006000610,응암순환(상선),2025-05-21 20:55:21,6분 후 (상월곡(한국과학기술연구원)),상월곡(한국과학기술연구원),99,0
2,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,02008응암순환(상선)0,1006,1006000639,일반,840,6294,1006000610,응암순환(상선),2025-05-21 20:55:21,14분 후 (봉화산),봉화산,99,0
3,4,4,1006,하행,봉화산행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,11001봉화산0,1006,1006000639,일반,120,6275,1006000647,봉화산,2025-05-21 20:55:10,전역 도착,보문,5,0
4,4,4,1006,하행,신내행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,12005신내0,1006,1006000639,일반,540,6277,1006000648,신내,2025-05-21 20:55:10,9분 후 (청구),청구,99,0
1,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,01003응암순환(상선)0,1006,1006000639,일반,360,6292,1006000610,응암순환(상선),2025-05-21 20:55:21,6분 후 (상월곡(한국과학기술연구원)),상월곡(한국과학기술연구원),99,0
2,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,02008응암순환(상선)0,1006,1006000639,일반,840,6294,1006000610,응암순환(상선),2025-05-21 20:55:21,14분 후 (봉화산),봉화산,99,0
3,4,4,1006,하행,봉화산행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,11001봉화산0,1006,1006000639,일반,120,6275,1006000647,봉화산,2025-05-21 20:55:32,전역 도착,보문,5,0
4,4,4,1006,하행,신내행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,12005신내0,1006,1006000639,일반,540,6277,1006000648,신내,2025-05-21 20:55:32,9분 후 (청구),청구,99,0
1,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,01003응암순환(상선)0,1006,1006000639,일반,300,6292,1006000610,응암순환(상선),2025-05-21 20:55:44,5분 후 (상월곡(한국과학기술연구원)),상월곡(한국과학기술연구원),99,0
2,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,02008응암순환(상선)0,1006,1006000639,일반,780,6294,1006000610,응암순환(상선),2025-05-21 20:55:44,13분 후 (봉화산),봉화산,99,0
3,4,4,1006,하행,봉화산행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,11001봉화산0,1006,1006000639,일반,120,6275,1006000647,봉화산,2025-05-21 20:55:32,전역 도착,보문,5,0
4,4,4,1006,하행,신내행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,12005신내0,1006,1006000639,일반,540,6277,1006000648,신내,2025-05-21 20:55:32,9분 후 (청구),청구,99,0
1,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,01003응암순환(상선)0,1006,1006000639,일반,300,6292,1006000610,응암순환(상선),2025-05-21 20:55:44,5분 후 (상월곡(한국과학기술연구원)),상월곡(한국과학기술연구원),99,0
2,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,02008응암순환(상선)0,1006,1006000639,일반,780,6294,1006000610,응암순환(상선),2025-05-21 20:55:44,13분 후 (봉화산),봉화산,99,0
3,4,4,1006,하행,봉화산행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,11001봉화산0,1006,1006000639,일반,120,6275,1006000647,봉화산,2025-05-21 20:55:55,전역 도착,보문,5,0
4,4,4,1006,하행,신내행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,12005신내0,1006,1006000639,일반,480,6277,1006000648,신내,2025-05-21 20:55:55,8분 후 (청구),청구,99,0
1,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,01003응암순환(상선)0,1006,1006000639,일반,300,6292,1006000610,응암순환(상선),2025-05-21 20:56:06,5분 후 (상월곡(한국과학기술연구원)),상월곡(한국과학기술연구원),99,0
2,4,4,1006,상행,응암순환(상선)행 - 보문방면,1006000640,1006000638,1006000639,안암(고대병원앞),1,02008응암순환(상선)0,1006,1006000639,일반,780,6294,1006000610,응암순환(상선),2025-05-21 20:56:06,13분 후 (봉화산),봉화산,99,0
3,4,4,1006,하행,봉화산행 - 고려대방면,1006000638,1006000640,1006000639,안암(고대병원앞),1,11001봉화산0,1006,1006000639,일반,120,6275,1006000647,봉화산,2025-05-21 20:55:55,전역 도착,보문,5,0
