rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,01000응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,60,6288,1006000610,응암순환(상선),2025-05-21 20:54:59,약수 도착,약수,1,0
2,8,8,1003,상행,구파발행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,01001구파발0,"1003,1006","1003000333,1006000633",일반,60,3368,1003000320,구파발,2025-05-21 20:54:36,약수 도착,금호,1,0
3,8,8,1003,상행,대화행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,02003대화0,"1003,1006","1003000333,1006000633",일반,340,3370,1003000309,대화,2025-05-21 20:54:36,5분 40초 후 (압구정),압구정,99,0
4,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,02005응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,540,6290,1006000610,응암순환(상선),2025-05-21 20:54:59,9분 후 (보문),보문,99,0
5,8,8,1003,하행,수서행 - 금호방면,1003000332,1003000334,1003000333,약수,2,11001수서0,"1003,1006","1003000333,1006000633",일반,107,3355,1003000349,수서,2025-05-21 20:54:56,전역 도착,동대입구,5,0
6,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,11003봉화산0,"1003,1006","1003000333,1006000633",일반,300,6279,1006000647,봉화산,2025-05-21 20:55:10,5분 후 (이태원),이태원,99,0
7,8,8,1003,하행,오금행 - 금호방면,1003000332,1003000334,1003000333,약수,2,12004오금0,"1003,1006","1003000333,1006000633",일반,423,3357,1003000352,오금,2025-05-21 20:54:56,7분 3초 후 (종로3가),종로3가,99,0
8,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,12007봉화산0,"1003,1006","1003000333,1006000633",일반,780,6281,1006000647,봉화산,2025-05-21 20:55:10,13분 후 (공덕),공덕,99,0
1,8,8,1003,상행,구파발행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,01000구파발0,"1003,1006","1003000333,1006000633",일반,0,3368,1003000320,구파발,2025-05-21 20:55:15,약수 도착,약수,1,0
2,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,01000응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,60,6288,1006000610,응암순환(상선),2025-05-21 20:55:21,약수 도착,약수,1,0
3,8,8,1003,상행,대화행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,02003대화0,"1003,1006","1003000333,1006000633",일반,310,3370,1003000309,대화,2025-05-21 20:55:15,5분 10초 후 (압구정),압구정,99,0
4,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,02005응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,540,6290,1006000610,응암순환(상선),2025-05-21 20:55:21,9분 후 (보문),보문,99,0
5,8,8,1003,하행,수서행 - 금호방면,1003000332,1003000334,1003000333,약수,2,11001수서0,"1003,1006","1003000333,1006000633",일반,107,3355,1003000349,수서,2025-05-21 20:54:56,전역 도착,동대입구,5,0
6,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,11003봉화산0,"1003,1006","1003000333,1006000633",일반,300,6279,1006000647,봉화산,2025-05-21 20:55:10,5분 후 (이태원),이태원,99,0
7,8,8,1003,하행,오금행 - 금호방면,1003000332,1003000334,1003000333,약수,2,12004오금0,"1003,1006","1003000333,1006000633",일반,423,3357,1003000352,오금,2025-05-21 20:54:56,7분 3초 후 (종로3가),종로3가,99,0
8,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,12007봉화산0,"1003,1006","1003000333,1006000633",일반,780,6281,1006000647,봉화산,2025-05-21 20:55:10,13분 후 (공덕),공덕,99,0
1,8,8,1003,상행,구파발행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,01000구파발0,"1003,1006","1003000333,1006000633",일반,0,3368,1003000320,구파발,2025-05-21 20:55:15,약수 도착,약수,1,0
2,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,01000응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,60,6288,1006000610,응암순환(상선),2025-05-21 20:55:21,약수 도착,약수,1,0
3,8,8,1003,상행,대화행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,02003대화0,"1003,1006","1003000333,1006000633",일반,310,3370,1003000309,대화,2025-05-21 20:55:15,5분 10초 후 (압구정),압구정,99,0
4,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,02005응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,540,6290,1006000610,응암순환(상선),2025-05-21 20:55:21,9분 후 (보문),보문,99,0
5,8,8,1003,하행,수서행 - 금호방면,1003000332,1003000334,1003000333,약수,2,11001수서0,"1003,1006","1003000333,1006000633",일반,97,3355,1003000349,수서,2025-05-21 20:55:35,전역 도착,동대입구,5,0
6,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,11003봉화산0,"1003,1006","1003000333,1006000633",일반,300,6279,1006000647,봉화산,2025-05-21 20:55:32,5분 후 (이태원),이태원,99,0
7,8,8,1003,하행,오금행 - 금호방면,1003000332,1003000334,1003000333,약수,2,12004오금0,"1003,1006","1003000333,1006000633",일반,423,3357,1003000352,오금,2025-05-21 20:55:35,7분 3초 후 (종로3가),종로3가,99,0
8,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,12007봉화산0,"1003,1006","1003000333,1006000633",일반,780,6281,1006000647,봉화산,2025-05-21 20:55:32,13분 후 (공덕),공덕,99,0
1,8,8,1003,상행,구파발행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,01000구파발0,"1003,1006","1003000333,1006000633",일반,0,3368,1003000320,구파발,2025-05-21 20:55:15,약수 도착,약수,1,0
2,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,01000응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,60,6288,1006000610,응암순환(상선),2025-05-21 20:55:43,약수 도착,약수,1,0
3,8,8,1003,상행,대화행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,02003대화0,"1003,1006","1003000333,1006000633",일반,310,3370,1003000309,대화,2025-05-21 20:55:15,5분 10초 후 (압구정),압구정,99,0
4,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,02005응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,480,6290,1006000610,응암순환(상선),2025-05-21 20:55:43,8분 후 (보문),보문,99,0
5,8,8,1003,하행,수서행 - 금호방면,1003000332,1003000334,1003000333,약수,2,11001수서0,"1003,1006","1003000333,1006000633",일반,97,3355,1003000349,수서,2025-05-21 20:55:35,전역 도착,동대입구,5,0
6,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,11003봉화산0,"1003,1006","1003000333,1006000633",일반,300,6279,1006000647,봉화산,2025-05-21 20:55:32,5분 후 (이태원),이태원,99,0
7,8,8,1003,하행,오금행 - 금호방면,1003000332,1003000334,1003000333,약수,2,12004오금0,"1003,1006","1003000333,1006000633",일반,423,3357,1003000352,오금,2025-05-21 20:55:35,7분 3초 후 (종로3가),종로3가,99,0
8,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,12007봉화산0,"1003,1006","1003000333,1006000633",일반,780,6281,1006000647,봉화산,2025-05-21 20:55:32,13분 후 (공덕),공덕,99,0
1,8,8,1003,상행,구파발행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,01000구파발0,"1003,1006","1003000333,1006000633",일반,0,3368,1003000320,구파발,2025-05-21 20:55:54,약수 도착,약수,1,0
2,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,01000응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,60,6288,1006000610,응암순환(상선),2025-05-21 20:55:43,약수 도착,약수,1,0
3,8,8,1003,상행,대화행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,02003대화0,"1003,1006","1003000333,1006000633",일반,310,3370,1003000309,대화,2025-05-21 20:55:54,5분 10초 후 (압구정),압구정,99,0
4,8,8,1006,상행,응암순환(상선)행 - 버티고개방면,1006000634,1006000632,1006000633,약수,2,02005응암순환(상선)0,"1003,1006","1003000333,1006000633",일반,480,6290,1006000610,응암순환(상선),2025-05-21 20:55:43,8분 후 (보문),보문,99,0
5,8,8,1003,하행,수서행 - 금호방면,1003000332,1003000334,1003000333,약수,2,11001수서0,"1003,1006","1003000333,1006000633",일반,97,3355,1003000349,수서,2025-05-21 20:55:35,전역 도착,동대입구,5,0
6,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,11003봉화산0,"1003,1006","1003000333,1006000633",일반,300,6279,1006000647,봉화산,2025-05-21 20:55:55,5분 후 (이태원),이태원,99,0
7,8,8,1003,하행,오금행 - 금호방면,1003000332,1003000334,1003000333,약수,2,12004오금0,"1003,1006","1003000333,1006000633",일반,423,3357,1003000352,오금,2025-05-21 20:55:35,7분 3초 후 (종로3가),종로3가,99,0
8,8,8,1006,하행,봉화산행 - 청구방면,1006000632,1006000634,1006000633,약수,2,12006봉화산0,"1003,1006","1003000333,1006000633",일반,720,6281,1006000647,봉화산,2025-05-21 20:55:55,12분 후 (효창공원앞),효창공원앞,99,0
1,8,8,1003,상행,구파발행 - 동대입구방면,1003000334,1003000332,1003000333,약수,2,01000구파발0,"1003,1006","1003000333,1006000633",일반,0,3368,1003000320,구파발,2025-05-21 20:55:54,약수 출발,약수,2,0
