rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,01000신사0,"1002,1077","1002000222,1077000687",일반,0,13,1077000684,신사,2025-05-21 20:54:56,강남 출발,강남,2,0
2,7,7,1002,외선,성수행 - 역삼방면,1002000223,1002000221,1002000222,강남,2,01001성수0,"1002,1077","1002000222,1077000687",일반,80,2437,1002000211,성수,2025-05-21 20:55:05,강남 진입,교대,0,0
3,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,02003신사0,"1002,1077","1002000222,1077000687",일반,0,10,1077000684,신사,2025-05-21 20:54:56,[3]번째 전역 (청계산입구),청계산입구,99,0
4,7,7,1002,외선,성수행 - 역삼방면,1002000223,1002000221,1002000222,강남,2,02005성수0,"1002,1077","1002000222,1077000687",일반,530,3441,1002000211,성수,2025-05-21 20:55:05,8분 50초 후,낙성대,99,0
5,7,7,1077,하행,광교행 - 양재방면,1077000686,1077000688,1077000687,강남,2,11000광교0,"1002,1077","1002000222,1077000687",일반,0,16,1077006819,광교,2025-05-21 20:54:10,강남 도착,강남,1,0
6,7,7,1002,내선,성수행 - 교대방면,1002000221,1002000223,1002000222,강남,2,11004성수0,"1002,1077","1002000222,1077000687",일반,240,3444,1002000211,성수,2025-05-21 20:55:05,4분 후,삼성,99,0
7,7,7,1002,내선,신도림행 - 교대방면,1002000221,1002000223,1002000222,강남,2,12005신도림0,"1002,1077","1002000222,1077000687",일반,330,4446,1002000234,신도림,2025-05-21 20:55:05,5분 30초 후,종합운동장,99,0
1,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,01000신사0,"1002,1077","1002000222,1077000687",일반,0,13,1077000684,신사,2025-05-21 20:54:56,강남 진입,강남,0,0
2,7,7,1002,외선,성수행 - 역삼방면,1002000223,1002000221,1002000222,강남,2,01004성수0,"1002,1077","1002000222,1077000687",일반,420,3441,1002000211,성수,2025-05-21 20:55:25,7분 후,사당,99,0
3,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,02003신사0,"1002,1077","1002000222,1077000687",일반,0,10,1077000684,신사,2025-05-21 20:54:56,[3]번째 전역 (청계산입구),청계산입구,99,0
4,7,7,1002,외선,성수행 - 역삼방면,1002000223,1002000221,1002000222,강남,2,02007성수0,"1002,1077","1002000222,1077000687",일반,690,7443,1002000211,성수,2025-05-21 20:55:25,11분 30초 후,봉천,99,0
5,7,7,1077,하행,광교행 - 양재방면,1077000686,1077000688,1077000687,강남,2,11000광교0,"1002,1077","1002000222,1077000687",일반,0,16,1077006819,광교,2025-05-21 20:54:10,강남 도착,강남,1,0
6,7,7,1002,내선,성수행 - 교대방면,1002000221,1002000223,1002000222,강남,2,11004성수0,"1002,1077","1002000222,1077000687",일반,230,3444,1002000211,성수,2025-05-21 20:55:25,3분 50초 후,삼성,99,0
7,7,7,1002,내선,신도림행 - 교대방면,1002000221,1002000223,1002000222,강남,2,12005신도림0,"1002,1077","1002000222,1077000687",일반,330,4446,1002000234,신도림,2025-05-21 20:55:25,5분 30초 후,종합운동장,99,0
1,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,01003신사0,"1002,1077","1002000222,1077000687",일반,0,10,1077000684,신사,2025-05-21 20:55:22,[3]번째 전역 (청계산입구),청계산입구,99,0
2,7,7,1002,외선,성수행 - 역삼방면,1002000223,1002000221,1002000222,강남,2,01004성수0,"1002,1077","1002000222,1077000687",일반,420,3441,1002000211,성수,2025-05-21 20:55:30,7분 후,사당,99,0
3,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,02004신사0,"1002,1077","1002000222,1077000687",일반,0,21,1077000684,신사,2025-05-21 20:55:22,[4]번째 전역 (판교),판교,99,0
4,7,7,1002,외선,성수행 - 역삼방면,1002000223,1002000221,1002000222,강남,2,02007성수0,"1002,1077","1002000222,1077000687",일반,690,7443,1002000211,성수,2025-05-21 20:55:30,11분 30초 후,봉천,99,0
5,7,7,1077,하행,광교행 - 양재방면,1077000686,1077000688,1077000687,강남,2,11000광교0,"1002,1077","1002000222,1077000687",일반,0,16,1077006819,광교,2025-05-21 20:54:10,강남 도착,강남,1,0
6,7,7,1002,내선,성수행 - 교대방면,1002000221,1002000223,1002000222,강남,2,11004성수0,"1002,1077","1002000222,1077000687",일반,230,3444,1002000211,성수,2025-05-21 20:55:30,3분 50초 후,삼성,99,0
7,7,7,1002,내선,신도림행 - 교대방면,1002000221,1002000223,1002000222,강남,2,12005신도림0,"1002,1077","1002000222,1077000687",일반,330,4446,1002000234,신도림,2025-05-21 20:55:30,5분 30초 후,종합운동장,99,0
1,7,7,1077,상행,신사행 - 신논현방면,1077000688,1077000686,1077000687,강남,2,01003신사0,"1002,1077","1002000222,1077000687",일반,0,10,1077000684,신사,2025-05-21 20:55:22,[3]번째 전역 (청계산입구),청계산입구,99,0
