rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,660,5196,1005000510,방화,2025-05-21 20:54:56,11분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1380,5198,1005000510,방화,2025-05-21 20:54:56,23분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11001하남검단산0,1005,1005000551,일반,120,5171,1005000558,하남검단산,2025-05-21 20:55:06,전역 진입,굽은다리(강동구민회관앞),4,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,1020,5173,1005000558,하남검단산,2025-05-21 20:55:06,17분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,660,5196,1005000510,방화,2025-05-21 20:55:17,11분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1380,5198,1005000510,방화,2025-05-21 20:55:17,23분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11001하남검단산0,1005,1005000551,일반,120,5171,1005000558,하남검단산,2025-05-21 20:55:27,전역 진입,굽은다리(강동구민회관앞),4,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,1020,5173,1005000558,하남검단산,2025-05-21 20:55:27,17분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,600,5196,1005000510,방화,2025-05-21 20:55:37,10분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1320,5198,1005000510,방화,2025-05-21 20:55:37,22분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11001하남검단산0,1005,1005000551,일반,120,5171,1005000558,하남검단산,2025-05-21 20:55:27,전역 도착,굽은다리(강동구민회관앞),5,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,1020,5173,1005000558,하남검단산,2025-05-21 20:55:27,17분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,600,5196,1005000510,방화,2025-05-21 20:55:37,10분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1320,5198,1005000510,방화,2025-05-21 20:55:37,22분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11001하남검단산0,1005,1005000551,일반,120,5171,1005000558,하남검단산,2025-05-21 20:55:47,전역 도착,굽은다리(강동구민회관앞),5,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,960,5173,1005000558,하남검단산,2025-05-21 20:55:47,16분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,600,5196,1005000510,방화,2025-05-21 20:55:57,10분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1320,5198,1005000510,방화,2025-05-21 20:55:57,22분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11001하남검단산0,1005,1005000551,일반,120,5171,1005000558,하남검단산,2025-05-21 20:55:47,전역 도착,굽은다리(강동구민회관앞),5,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,960,5173,1005000558,하남검단산,2025-05-21 20:55:47,16분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,600,5196,1005000510,방화,2025-05-21 20:55:57,10분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1320,5198,1005000510,방화,2025-05-21 20:55:57,22분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11000하남검단산0,1005,1005000551,일반,60,5171,1005000558,하남검단산,2025-05-21 20:56:08,명일 도착,명일,1,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,960,5173,1005000558,하남검단산,2025-05-21 20:56:08,16분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,600,5196,1005000510,방화,2025-05-21 20:56:18,10분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1320,5198,1005000510,방화,2025-05-21 20:56:18,22분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11000하남검단산0,1005,1005000551,일반,60,5171,1005000558,하남검단산,2025-05-21 20:56:08,명일 진입,명일,0,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12008하남검단산0,1005,1005000551,일반,960,5173,1005000558,하남검단산,2025-05-21 20:56:08,16분 후 (장한평),장한평,99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,600,5196,1005000510,방화,2025-05-21 20:56:18,10분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1320,5198,1005000510,방화,2025-05-21 20:56:18,22분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11000하남검단산0,1005,1005000551,일반,60,5171,1005000558,하남검단산,2025-05-21 20:56:28,명일 진입,명일,0,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12007하남검단산0,1005,1005000551,일반,960,5173,1005000558,하남검단산,2025-05-21 20:56:28,16분 후 (군자(능동)),군자(능동),99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,540,5196,1005000510,방화,2025-05-21 20:56:38,9분 후 (미사),미사,99,0
2,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,02014방화0,1005,1005000551,일반,1260,5198,1005000510,방화,2025-05-21 20:56:38,21분 후 (하남검단산),하남검단산,99,0
3,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,11000하남검단산0,1005,1005000551,일반,60,5171,1005000558,하남검단산,2025-05-21 20:56:48,명일 진입,명일,0,0
4,4,4,1005,하행,하남검단산행 - 고덕방면,1005000550,1005000552,1005000551,명일,1,12007하남검단산0,1005,1005000551,일반,900,5173,1005000558,하남검단산,2025-05-21 20:56:48,15분 후 (군자(능동)),군자(능동),99,0
1,4,4,1005,상행,방화행 - 굽은다리(강동구민회관앞)방면,1005000552,1005000550,1005000551,명일,1,01011방화0,1005,1005000551,일반,540,5196,1005000510,방화,2025-05-21 20:56:59,9분 후 (미사),미사,99,0
