rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,7,7,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01002연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:53:41,[2]번째 전역 (동암),동암,99,0
2,7,7,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
3,7,7,1001,상행,양주행 - 부개방면,1001000153,1001000151,1001000152,부평,2,02006양주0,"1001,1069","1001000152,1069073120",일반,0,0202,1001000107,양주,2025-05-21 20:53:41,[6]번째 전역 (제물포),제물포,99,0
4,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,11001인천0,"1001,1069","1001000152,1069073120",일반,0,0189,1001000161,인천,2025-05-21 20:54:55,전역 도착,부개,5,0
5,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,11004동인천1,"1001,1069","1001000152,1069073120",급행,0,1175,1001000160,동인천,2025-05-21 20:53:09,[4]번째 전역 (부천),부천,99,0
6,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12005인천0,"1001,1069","1001000152,1069073120",일반,0,0191,1001000161,인천,2025-05-21 20:54:55,[5]번째 전역 (소사),소사,99,0
7,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,12009동인천1,"1001,1069","1001000152,1069073120",급행,0,1177,1001000160,동인천,2025-05-21 20:53:09,[9]번째 전역 (개봉),개봉,99,0
1,7,7,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01002연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:53:41,[2]번째 전역 (동암),동암,99,0
2,7,7,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
3,7,7,1001,상행,양주행 - 부개방면,1001000153,1001000151,1001000152,부평,2,02006양주0,"1001,1069","1001000152,1069073120",일반,0,0202,1001000107,양주,2025-05-21 20:53:41,[6]번째 전역 (제물포),제물포,99,0
4,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,11001인천0,"1001,1069","1001000152,1069073120",일반,0,0189,1001000161,인천,2025-05-21 20:54:55,전역 도착,부개,5,0
5,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,11004동인천1,"1001,1069","1001000152,1069073120",급행,0,1175,1001000160,동인천,2025-05-21 20:53:09,[4]번째 전역 (부천),부천,99,0
6,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12005인천0,"1001,1069","1001000152,1069073120",일반,0,0191,1001000161,인천,2025-05-21 20:54:55,[5]번째 전역 (소사),소사,99,0
7,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,12009동인천1,"1001,1069","1001000152,1069073120",급행,0,1177,1001000160,동인천,2025-05-21 20:53:09,[9]번째 전역 (개봉),개봉,99,0
1,7,7,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01002연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:53:41,[2]번째 전역 (동암),동암,99,0
2,7,7,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
3,7,7,1001,상행,양주행 - 부개방면,1001000153,1001000151,1001000152,부평,2,02006양주0,"1001,1069","1001000152,1069073120",일반,0,0202,1001000107,양주,2025-05-21 20:53:41,[6]번째 전역 (제물포),제물포,99,0
4,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,11001인천0,"1001,1069","1001000152,1069073120",일반,0,0189,1001000161,인천,2025-05-21 20:54:55,전역 도착,부개,5,0
5,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,11004동인천1,"1001,1069","1001000152,1069073120",급행,0,1175,1001000160,동인천,2025-05-21 20:53:09,[4]번째 전역 (부천),부천,99,0
6,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12005인천0,"1001,1069","1001000152,1069073120",일반,0,0191,1001000161,인천,2025-05-21 20:54:55,[5]번째 전역 (소사),소사,99,0
7,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,12009동인천1,"1001,1069","1001000152,1069073120",급행,0,1177,1001000160,동인천,2025-05-21 20:53:09,[9]번째 전역 (개봉),개봉,99,0
1,7,7,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01001연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:55:41,전역 진입,백운,4,0
2,7,7,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
3,7,7,1001,상행,양주행 - 부개방면,1001000153,1001000151,1001000152,부평,2,02006양주0,"1001,1069","1001000152,1069073120",일반,0,0202,1001000107,양주,2025-05-21 20:55:41,[6]번째 전역 (제물포),제물포,99,0
4,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,11001인천0,"1001,1069","1001000152,1069073120",일반,0,0189,1001000161,인천,2025-05-21 20:54:55,전역 도착,부개,5,0
5,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,11004동인천1,"1001,1069","1001000152,1069073120",급행,0,1175,1001000160,동인천,2025-05-21 20:53:09,[4]번째 전역 (부천),부천,99,0
6,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12005인천0,"1001,1069","1001000152,1069073120",일반,0,0191,1001000161,인천,2025-05-21 20:54:55,[5]번째 전역 (소사),소사,99,0
7,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,12009동인천1,"1001,1069","1001000152,1069073120",급행,0,1177,1001000160,동인천,2025-05-21 20:53:09,[9]번째 전역 (개봉),개봉,99,0
1,7,7,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01001연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:55:41,전역 진입,백운,4,0
2,7,7,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
3,7,7,1001,상행,양주행 - 부개방면,1001000153,1001000151,1001000152,부평,2,02006양주0,"1001,1069","1001000152,1069073120",일반,0,0202,1001000107,양주,2025-05-21 20:55:41,[6]번째 전역 (제물포),제물포,99,0
4,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,11001인천0,"1001,1069","1001000152,1069073120",일반,0,0189,1001000161,인천,2025-05-21 20:54:55,전역 도착,부개,5,0
5,7,7,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,11002동인천1,"1001,1069","1001000152,1069073120",급행,0,1175,1001000160,동인천,2025-05-21 20:55:57,[2]번째 전역 (송내),송내,99,0
6,7,7,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12005인천0,"1001,1069","1001000152,1069073120",일반,0,0191,1001000161,인천,2025-05-21 20:54:55,[5]번째 전역 (소사),소사,99,0
7,7,7,1001,하행,동인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12008동인천0,"1001,1069","1001000152,1069073120",일반,0,1179,1001000160,동인천,2025-05-21 20:55:57,[8]번째 전역 (구로),구로,99,0
1,8,8,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01001연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:55:41,전역 도착,백운,5,0
2,8,8,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
3,8,8,1001,상행,양주행 - 부개방면,1001000153,1001000151,1001000152,부평,2,02006양주0,"1001,1069","1001000152,1069073120",일반,0,0202,1001000107,양주,2025-05-21 20:55:41,[6]번째 전역 (제물포),제물포,99,0
4,8,8,1001,상행,구로행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,02008구로1,"1001,1069","1001000152,1069073120",급행,0,1176,1001000141,구로,2025-05-21 20:54:38,[8]번째 전역 (동인천),동인천,99,0
5,8,8,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,11001인천0,"1001,1069","1001000152,1069073120",일반,0,0189,1001000161,인천,2025-05-21 20:54:55,전역 도착,부개,5,0
6,8,8,1001,하행,동인천행 - 백운방면 (급행),1001000151,1001000153,1001000152,부평,2,11002동인천1,"1001,1069","1001000152,1069073120",급행,0,1175,1001000160,동인천,2025-05-21 20:55:57,[2]번째 전역 (송내),송내,99,0
7,8,8,1001,하행,인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12005인천0,"1001,1069","1001000152,1069073120",일반,0,0191,1001000161,인천,2025-05-21 20:54:55,[5]번째 전역 (소사),소사,99,0
8,8,8,1001,하행,동인천행 - 백운방면,1001000151,1001000153,1001000152,부평,2,12008동인천0,"1001,1069","1001000152,1069073120",일반,0,1179,1001000160,동인천,2025-05-21 20:55:57,[8]번째 전역 (구로),구로,99,0
1,8,8,1001,상행,연천행 - 부개방면,1001000153,1001000151,1001000152,부평,2,01001연천0,"1001,1069","1001000152,1069073120",일반,0,0200,1001001003,연천,2025-05-21 20:56:14,전역 도착,백운,5,0
2,8,8,1001,상행,용산행 - 부개방면 (급행),1001000153,1001000151,1001000152,부평,2,01004용산1,"1001,1069","1001000152,1069073120",급행,0,1174,1001000135,용산,2025-05-21 20:54:38,[4]번째 전역 (주안),주안,99,0
