rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd,lstcarAt
1,21,21,1001,상행,의정부행 - 시청방면,1001000134,1001000132,1001000133,서울,4,01000의정부0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,0190,1001000110,의정부,2025-05-21 20:55:17,서울 도착,서울,1,0
2,21,21,1065,상행,인천공항2터미널행 - 공덕방면,1065006502,1065006501,1065006501,서울,4,01000인천공항2터미널0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,A2163,1065006511,인천공항2터미널,2025-05-21 20:47:18,서울 출발,서울,2,0
3,21,21,1065,상행,인천공항2터미널행 - 공덕방면 (급행),1065006502,1065006501,1065006501,서울,4,01000인천공항2터미널1,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",급행,0,A1045,1065006511,인천공항2터미널,2025-05-21 20:50:26,서울 출발,서울,2,0
4,21,21,1004,상행,불암산행 - 회현방면,1004000427,1004000425,1004000426,서울,4,01001불암산0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,115,4330,1004000409,불암산,2025-05-21 20:55:05,전역 도착,숙대입구,5,0
5,21,21,1063,상행,문산행 - 신촌(경의중앙선)방면,1063080313,1063080312,1063080313,서울,4,01008문산0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,5138,1063075335,문산,2025-05-21 20:53:06,[8]번째 전역 (한남),한남,99,0
6,21,21,1001,상행,청량리행 - 시청방면,1001000134,1001000132,1001000133,서울,4,01009청량리0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,1944,1001000124,청량리,2025-05-21 20:54:32,[9]번째 전역 (가산디지털단지),가산디지털단지,99,0
7,21,21,1004,상행,불암산행 - 회현방면,1004000427,1004000425,1004000426,서울,4,02002불암산0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,248,4198,1004000409,불암산,2025-05-21 20:55:05,4분 8초 후 (삼각지),삼각지,99,0
8,21,21,1001,상행,청량리행 - 시청방면,1001000134,1001000132,1001000133,서울,4,02003청량리0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,0492,1001000124,청량리,2025-05-21 20:55:17,[3]번째 전역 (노량진),노량진,99,0
9,21,21,1063,상행,문산행 - 신촌(경의중앙선)방면,1063080313,1063080312,1063080313,서울,4,02011문산0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,5140,1063075335,문산,2025-05-21 20:53:06,[11]번째 전역 (왕십리),왕십리,99,0
10,21,21,1001,상행,청량리행 - 시청방면,1001000134,1001000132,1001000133,서울,4,02024청량리0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,1946,1001000124,청량리,2025-05-21 20:54:32,[24]번째 전역 (병점),병점,99,0
11,21,21,1065,하행,서울행 - 서울방면,1065006501,1065006502,1065006501,서울,4,11001서울0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,A3098,1065006501,서울,2025-05-21 20:53:12,전역 출발,공덕,3,0
12,21,21,1065,하행,서울행 - 서울방면 (급행),1065006501,1065006502,1065006501,서울,4,11001서울1,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",급행,0,A1046,1065006501,서울,2025-05-21 20:48:06,전역 출발,공덕,3,0
13,21,21,1004,하행,오이도행 - 숙대입구방면,1004000425,1004000427,1004000426,서울,4,11001오이도0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,102,4495,1004000456,오이도,2025-05-21 20:54:43,전역 출발,회현,3,0
14,21,21,1001,하행,인천행 - 남영방면,1001000132,1001000134,1001000133,서울,4,11001인천0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,170,0199,1001000161,인천,2025-05-21 20:55:05,전역 출발,시청,3,0
15,21,21,1063,하행,용문행 - 서울방면,1063080312,1063080313,1063080313,서울,4,11004용문0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,5143,1063075137,용문,2025-05-21 20:55:15,[4]번째 전역 (수색),수색,99,0
16,21,21,1065,하행,서울행 - 서울방면,1065006501,1065006502,1065006501,서울,4,12001서울0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,0,A2162,1065006501,서울,2025-05-21 20:53:12,전역 출발,공덕,3,0
17,21,21,1001,하행,서동탄행 - 남영방면,1001000132,1001000134,1001000133,서울,4,12002서동탄0,"1001,1004,1063,1065","1001000133,1004000426,1063080313,1065006501",일반,360,0499,1001801571,서동탄,2025-05-21 20:55:05,6분 후 (종각),종각,99,0
