subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1003,하행,고속터미널,일반,3029,오금,2025-05-17 07:31:36,1
1003,상행,고속터미널,일반,3048,구파발,2025-05-17 07:31:55,1
1007,하행,고속터미널,일반,7033,석남,2025-05-17 07:32:15,1
1007,상행,고속터미널,일반,7034,장암,2025-05-17 07:33:29,1
1003,하행,고속터미널,일반,3031,오금,2025-05-17 07:37:16,1
1007,하행,고속터미널,일반,7035,온수,2025-05-17 07:38:45,1
1003,상행,고속터미널,일반,3050,대화,2025-05-17 07:39:29,1
1007,상행,고속터미널,일반,7036,도봉산,2025-05-17 07:39:36,1
1003,하행,고속터미널,일반,3033,오금,2025-05-17 07:42:20,1
1003,상행,고속터미널,일반,3052,구파발,2025-05-17 07:45:15,1
1009,하행,고속터미널,급행,9515,김포공항,2025-05-17 07:45:26,1
1007,하행,고속터미널,일반,7037,석남,2025-05-17 07:46:15,1
1007,상행,고속터미널,일반,7038,장암,2025-05-17 07:46:25,1
1003,하행,고속터미널,일반,3035,오금,2025-05-17 07:47:27,1
1003,상행,고속터미널,일반,3054,대화,2025-05-17 07:49:03,1
1007,상행,고속터미널,일반,7040,도봉산,2025-05-17 07:52:35,1
1007,하행,고속터미널,일반,7039,온수,2025-05-17 07:52:45,1
1003,하행,고속터미널,일반,3037,오금,2025-05-17 07:53:05,1
1003,상행,고속터미널,일반,3056,대화,2025-05-17 07:55:17,1
1007,상행,고속터미널,일반,7042,도봉산,2025-05-17 07:59:44,1
1003,상행,고속터미널,일반,3058,대화,2025-05-17 08:00:21,1
1003,하행,고속터미널,일반,3039,오금,2025-05-17 08:00:38,1
1007,하행,고속터미널,일반,7041,석남,2025-05-17 08:01:16,1
1007,상행,고속터미널,일반,7044,장암,2025-05-17 08:05:13,1
1003,상행,고속터미널,일반,3060,구파발,2025-05-17 08:05:51,1
1003,하행,고속터미널,일반,3041,오금,2025-05-17 08:06:10,1
1007,하행,고속터미널,일반,7043,온수,2025-05-17 08:07:46,1
1009,상행,고속터미널,급행,9526,중앙보훈병원,2025-05-17 08:08:33,1
1003,상행,고속터미널,일반,3064,대화,2025-05-17 08:11:31,1
1003,하행,고속터미널,일반,3043,오금,2025-05-17 08:13:03,1
1007,상행,고속터미널,일반,7046,도봉산,2025-05-17 08:13:24,1
1007,하행,고속터미널,일반,7045,석남,2025-05-17 08:14:16,1
1007,상행,고속터미널,일반,7048,장암,2025-05-17 08:19:12,1
1003,상행,고속터미널,일반,3066,구파발,2025-05-17 08:19:30,1
1003,하행,고속터미널,일반,3045,오금,2025-05-17 08:19:48,1
1007,하행,고속터미널,일반,7047,온수,2025-05-17 08:20:44,1
1003,상행,고속터미널,일반,3068,대화,2025-05-17 08:23:19,1
1007,상행,고속터미널,일반,7050,도봉산,2025-05-17 08:26:01,1
1007,하행,고속터미널,일반,7049,석남,2025-05-17 08:28:13,1
1003,하행,고속터미널,일반,3047,오금,2025-05-17 08:29:13,1
1009,하행,고속터미널,일반,9035,개화,2025-05-17 08:29:41,1
1007,상행,고속터미널,일반,7052,장암,2025-05-17 08:31:50,1
1003,상행,고속터미널,일반,3070,구파발,2025-05-17 08:32:42,1
1007,하행,고속터미널,일반,7051,온수,2025-05-17 08:36:06,1
1003,상행,고속터미널,일반,3072,대화,2025-05-17 08:36:24,1
1007,상행,고속터미널,일반,7054,도봉산,2025-05-17 08:39:00,1
1007,하행,고속터미널,일반,7053,석남,2025-05-17 08:39:51,1
1003,하행,고속터미널,일반,3049,오금,2025-05-17 08:42:29,1
1003,상행,고속터미널,일반,3074,구파발,2025-05-17 08:44:01,1
1007,상행,고속터미널,일반,7056,장암,2025-05-17 08:44:48,1
1003,하행,고속터미널,일반,3051,오금,2025-05-17 08:44:55,1
1003,하행,고속터미널,일반,3053,오금,2025-05-17 08:47:19,1
1007,하행,고속터미널,일반,7055,온수,2025-05-17 08:48:43,1
1003,상행,고속터미널,일반,3076,대화,2025-05-17 08:50:03,1
1007,상행,고속터미널,일반,7058,도봉산,2025-05-17 08:52:18,1
1003,하행,고속터미널,일반,3055,오금,2025-05-17 08:53:32,1
1007,하행,고속터미널,일반,7057,석남,2025-05-17 08:54:11,1
1003,상행,고속터미널,일반,3078,구파발,2025-05-17 08:55:46,1
1007,상행,고속터미널,일반,7060,장암,2025-05-17 08:57:46,1
