subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1002,외선,한양대,일반,3061,성수,2025-05-17 07:33:36,5
1002,외선,한양대,일반,6063,성수,2025-05-17 07:39:39,5
1002,외선,한양대,일반,3065,성수,2025-05-17 07:45:11,5
1002,외선,한양대,일반,2067,성수,2025-05-17 07:51:53,5
1002,외선,한양대,일반,2069,성수,2025-05-17 07:57:41,5
1002,외선,한양대,일반,6073,성수,2025-05-17 08:03:43,5
1002,외선,한양대,일반,2075,성수,2025-05-17 08:08:40,5
1002,외선,한양대,일반,6077,성수,2025-05-17 08:14:33,5
1002,외선,한양대,일반,2079,성수,2025-05-17 08:21:15,5
1002,외선,한양대,일반,2081,성수,2025-05-17 08:26:38,5
1002,외선,한양대,일반,6085,성수,2025-05-17 08:32:20,5
1002,외선,한양대,일반,2087,성수,2025-05-17 08:37:37,5
1002,외선,한양대,일반,2089,성수,2025-05-17 08:41:59,5
1002,외선,한양대,일반,3091,성수,2025-05-17 08:47:26,5
1002,외선,한양대,일반,3093,성수,2025-05-17 08:53:03,5
1002,외선,한양대,일반,3095,성수,2025-05-17 08:58:10,5
1002,외선,한양대,일반,3097,성수,2025-05-17 09:04:57,5
1002,외선,한양대,일반,3099,성수,2025-05-17 09:10:00,5
1002,외선,한양대,일반,3101,성수,2025-05-17 09:15:52,5
1002,외선,한양대,일반,4103,신도림,2025-05-17 09:21:49,5
1002,외선,한양대,일반,2107,성수,2025-05-17 09:27:32,5
