subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1004,상행,서울,일반,4022,불암산,2025-05-18 07:30:27,1
1004,하행,서울,일반,4521,오이도,2025-05-18 07:31:13,1
1001,상행,서울,일반,0412,청량리,2025-05-18 07:32:33,1
1001,하행,서울,일반,0629,신창,2025-05-18 07:32:47,1
1001,하행,서울,일반,0029,인천,2025-05-18 07:36:03,1
1001,상행,서울,일반,0020,광운대,2025-05-18 07:36:14,1
1004,상행,서울,일반,4510,불암산,2025-05-18 07:36:38,1
1004,하행,서울,일반,4523,오이도,2025-05-18 07:37:57,1
1001,하행,서울,일반,0421,서동탄,2025-05-18 07:39:43,1
1001,상행,서울,일반,0606,광운대,2025-05-18 07:40:44,1
1004,상행,서울,일반,4024,불암산,2025-05-18 07:41:53,1
1004,하행,서울,일반,4017,사당,2025-05-18 07:42:39,1
1001,하행,서울,일반,0031,인천,2025-05-18 07:44:19,1
1001,상행,서울,일반,0022,의정부,2025-05-18 07:45:37,1
1004,하행,서울,일반,4525,오이도,2025-05-18 07:49:56,1
1004,상행,서울,일반,4512,불암산,2025-05-18 07:50:43,1
1001,하행,서울,일반,0033,인천,2025-05-18 07:52:14,1
1001,상행,서울,일반,0414,청량리,2025-05-18 07:52:31,1
1004,상행,서울,일반,4026,불암산,2025-05-18 07:54:26,1
1004,하행,서울,일반,4303,안산,2025-05-18 07:55:13,1
1001,하행,서울,일반,1907,신창,2025-05-18 07:56:11,1
1001,상행,서울,일반,0024,양주,2025-05-18 07:56:57,1
1004,상행,서울,일반,4514,불암산,2025-05-18 07:59:44,1
1001,하행,서울,일반,0423,서동탄,2025-05-18 08:00:46,1
1001,상행,서울,일반,0416,광운대,2025-05-18 08:00:55,1
1004,하행,서울,일반,4019,사당,2025-05-18 08:01:02,1
1001,상행,서울,일반,0608,광운대,2025-05-18 08:01:32,1
1004,하행,서울,일반,4527,오이도,2025-05-18 08:05:45,1
1001,하행,서울,일반,0035,인천,2025-05-18 08:06:59,1
1004,상행,서울,일반,4028,불암산,2025-05-18 08:08:08,1
1001,상행,서울,일반,0026,소요산,2025-05-18 08:09:50,1
1001,하행,서울,일반,0801,구로,2025-05-18 08:11:55,1
1004,상행,서울,일반,4516,불암산,2025-05-18 08:12:53,1
1001,상행,서울,일반,0418,청량리,2025-05-18 08:12:58,1
1004,하행,서울,일반,4529,오이도,2025-05-18 08:14:12,1
1001,상행,서울,일반,0028,의정부,2025-05-18 08:15:59,1
1001,하행,서울,일반,0633,신창,2025-05-18 08:16:31,1
1004,상행,서울,일반,4308,불암산,2025-05-18 08:17:41,1
1001,상행,서울,일반,0420,동묘앞,2025-05-18 08:19:39,1
1001,하행,서울,일반,0039,인천,2025-05-18 08:20:17,1
1004,하행,서울,일반,4021,사당,2025-05-18 08:20:32,1
1004,상행,서울,일반,4518,불암산,2025-05-18 08:23:58,1
1001,하행,서울,급행,1909,천안,2025-05-18 08:24:56,1
1001,상행,서울,일반,0030,동두천,2025-05-18 08:27:07,1
1004,하행,서울,일반,4531,오이도,2025-05-18 08:27:24,1
1001,하행,서울,일반,0425,서동탄,2025-05-18 08:28:32,1
1004,상행,서울,일반,4030,불암산,2025-05-18 08:29:50,1
1001,상행,서울,일반,0610,청량리,2025-05-18 08:30:17,1
1001,상행,서울,일반,0422,광운대,2025-05-18 08:30:58,1
1004,하행,서울,일반,4023,사당,2025-05-18 08:31:09,1
1001,하행,서울,일반,0041,인천,2025-05-18 08:32:35,1
1004,하행,서울,일반,4533,오이도,2025-05-18 08:36:59,1
1004,상행,서울,일반,4520,불암산,2025-05-18 08:37:16,1
1001,하행,서울,일반,0637,신창,2025-05-18 08:37:36,1
1001,상행,서울,일반,0032,광운대,2025-05-18 08:39:56,1
1004,상행,서울,일반,4522,불암산,2025-05-18 08:41:54,1
1001,하행,서울,일반,0043,인천,2025-05-18 08:43:10,1
1001,하행,서울,급행,1911,천안,2025-05-18 08:44:38,1
1004,하행,서울,일반,4025,사당,2025-05-18 08:45:20,1
1001,상행,서울,일반,0424,광운대,2025-05-18 08:46:11,1
1004,상행,서울,일반,4032,불암산,2025-05-18 08:47:46,1
1001,하행,서울,일반,0427,서동탄,2025-05-18 08:48:47,1
1004,하행,서울,일반,4535,오이도,2025-05-18 08:49:37,1
1001,상행,서울,일반,0612,청량리,2025-05-18 08:51:21,1
1001,상행,서울,일반,0034,양주,2025-05-18 08:54:01,1
1004,상행,서울,일반,4524,불암산,2025-05-18 08:54:01,1
1004,하행,서울,일반,4027,사당,2025-05-18 08:57:27,1
1001,하행,서울,일반,0803,구로,2025-05-18 08:58:43,1
1001,상행,서울,일반,0426,광운대,2025-05-18 08:58:54,1
1004,상행,서울,일반,4034,불암산,2025-05-18 09:00:21,1
1001,하행,서울,일반,0639,천안,2025-05-18 09:01:54,1
1004,하행,서울,일반,4537,오이도,2025-05-18 09:03:13,1
1001,상행,서울,일반,0614,청량리,2025-05-18 09:03:47,1
1001,하행,서울,일반,0047,인천,2025-05-18 09:05:51,1
