subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,하행,신도림,일반,35,인천,2025-05-19 07:31:28,1
1001,상행,신도림,급행,1022,용산,2025-05-19 07:31:45,1
1001,상행,신도림,일반,1024,용산,2025-05-19 07:31:45,1
1001,상행,신도림,일반,24,소요산,2025-05-19 07:31:54,1
1001,상행,신도림,일반,416,청량리,2025-05-19 07:32:43,1
1001,하행,신도림,일반,33,인천,2025-05-19 07:33:35,1
1001,하행,신도림,일반,1037,동인천,2025-05-19 07:33:42,1
1001,하행,신도림,급행,1039,동인천,2025-05-19 07:33:42,1
1001,하행,신도림,일반,621,천안,2025-05-19 07:35:02,1
1001,하행,신도림,일반,37,인천,2025-05-19 07:38:03,1
1001,상행,신도림,일반,26,양주,2025-05-19 07:39:04,1
1001,상행,신도림,일반,1026,용산,2025-05-19 07:39:28,1
1001,하행,신도림,급행,1905,천안,2025-05-19 07:40:37,1
1001,상행,신도림,일반,418,광운대,2025-05-19 07:41:35,1
1001,상행,신도림,일반,1254,용산,2025-05-19 07:42:51,1
1001,하행,신도림,급행,1259,부평,2025-05-19 07:43:17,1
1001,상행,신도림,일반,28,동두천,2025-05-19 07:43:26,1
1001,하행,신도림,일반,419,병점,2025-05-19 07:46:19,1
1001,하행,신도림,일반,39,인천,2025-05-19 07:48:45,1
1001,상행,신도림,일반,608,광운대,2025-05-19 07:49:32,1
1001,하행,신도림,일반,1043,동인천,2025-05-19 07:50:36,1
1001,하행,신도림,일반,623,신창,2025-05-19 07:51:08,1
1001,하행,신도림,급행,1047,동인천,2025-05-19 07:51:44,1
1001,상행,신도림,급행,1028,용산,2025-05-19 07:55:17,1
1001,상행,신도림,일반,1030,용산,2025-05-19 07:55:17,1
1001,상행,신도림,일반,420,청량리,2025-05-19 07:56:07,1
1001,하행,신도림,일반,421,서동탄,2025-05-19 07:57:36,1
1001,상행,신도림,일반,30,의정부,2025-05-19 07:59:10,1
1001,하행,신도림,급행,1049,동인천,2025-05-19 08:00:43,1
1001,상행,신도림,일반,610,광운대,2025-05-19 08:01:47,1
1001,상행,신도림,일반,1604,동두천,2025-05-19 08:02:30,1
1001,하행,신도림,일반,41,인천,2025-05-19 08:02:35,1
1001,하행,신도림,급행,1261,부평,2025-05-19 08:05:06,1
1001,상행,신도림,일반,7004,영등포,2025-05-19 08:05:54,1
1001,하행,신도림,일반,625,신창,2025-05-19 08:06:49,1
1001,상행,신도림,일반,32,양주,2025-05-19 08:07:15,1
1001,상행,신도림,일반,1256,용산,2025-05-19 08:07:44,1
1001,상행,신도림,특급,1304,용산,2025-05-19 08:09:55,1
1001,상행,신도림,일반,1034,용산,2025-05-19 08:11:14,1
1001,하행,신도림,일반,43,인천,2025-05-19 08:13:18,1
1001,상행,신도림,일반,422,광운대,2025-05-19 08:14:00,1
1001,하행,신도림,급행,1051,동인천,2025-05-19 08:14:56,1
1001,상행,신도림,일반,34,연천,2025-05-19 08:15:52,1
1001,하행,신도림,급행,1907,천안,2025-05-19 08:17:20,1
1001,하행,신도림,급행,1053,동인천,2025-05-19 08:19:50,1
1001,하행,신도림,일반,423,서동탄,2025-05-19 08:20:26,1
1001,상행,신도림,일반,424,동묘앞,2025-05-19 08:21:21,1
1001,상행,신도림,특급,1306,용산,2025-05-19 08:23:04,1
1001,하행,신도림,일반,1601,인천,2025-05-19 08:23:55,1
1001,하행,신도림,급행,1055,동인천,2025-05-19 08:24:38,1
1001,상행,신도림,일반,1038,용산,2025-05-19 08:25:12,1
1001,상행,신도림,일반,612,청량리,2025-05-19 08:26:19,1
1001,하행,신도림,일반,425,서동탄,2025-05-19 08:27:03,1
1001,하행,신도림,일반,7007,광명,2025-05-19 08:29:12,1
1001,상행,신도림,일반,36,의정부,2025-05-19 08:30:00,1
1001,하행,신도림,일반,45,인천,2025-05-19 08:31:12,1
1001,상행,신도림,일반,1042,용산,2025-05-19 08:32:38,1
1001,상행,신도림,일반,426,광운대,2025-05-19 08:33:25,1
1001,하행,신도림,일반,627,신창,2025-05-19 08:33:30,1
1001,하행,신도림,급행,1057,동인천,2025-05-19 08:36:29,1
1001,하행,신도림,일반,47,부평,2025-05-19 08:37:13,1
1001,상행,신도림,일반,1044,용산,2025-05-19 08:37:21,1
1001,상행,신도림,일반,38,양주,2025-05-19 08:39:10,1
1001,하행,신도림,급행,1909,천안,2025-05-19 08:40:11,1
1001,하행,신도림,급행,1403,구로,2025-05-19 08:40:37,1
1001,상행,신도림,일반,7006,영등포,2025-05-19 08:41:54,1
1001,상행,신도림,일반,428,광운대,2025-05-19 08:42:30,1
1001,하행,신도림,일반,49,인천,2025-05-19 08:42:55,1
1001,상행,신도림,일반,40,소요산,2025-05-19 08:44:41,1
1001,상행,신도림,일반,1046,용산,2025-05-19 08:46:20,1
1001,상행,신도림,급행,1260,용산,2025-05-19 08:46:28,1
1001,하행,신도림,급행,1059,동인천,2025-05-19 08:47:24,1
1001,상행,신도림,일반,614,청량리,2025-05-19 08:47:50,1
1001,하행,신도림,일반,427,서동탄,2025-05-19 08:47:55,1
1001,하행,신도림,급행,1405,구로,2025-05-19 08:49:55,1
1001,하행,신도림,급행,1061,동인천,2025-05-19 08:54:57,1
1001,하행,신도림,일반,801,구로,2025-05-19 08:56:23,1
1001,하행,신도림,일반,51,인천,2025-05-19 08:59:30,1
1001,상행,신도림,일반,1264,용산,2025-05-19 09:00:17,1
1001,상행,신도림,일반,616,광운대,2025-05-19 09:01:19,1
1001,하행,신도림,일반,629,신창,2025-05-19 09:01:53,1
1001,하행,신도림,일반,53,부평,2025-05-19 09:03:39,1
1001,상행,신도림,일반,1906,청량리,2025-05-19 09:04:40,1
1001,하행,신도림,급행,1063,동인천,2025-05-19 09:06:21,1
1001,하행,신도림,급행,1911,천안,2025-05-19 09:06:27,1
1001,하행,신도림,일반,55,인천,2025-05-19 09:10:49,1
1001,상행,신도림,일반,44,양주,2025-05-19 09:12:14,1
1001,상행,신도림,일반,432,광운대,2025-05-19 09:12:59,1
1001,하행,신도림,일반,7009,광명,2025-05-19 09:13:19,1
1001,하행,신도림,일반,429,서동탄,2025-05-19 09:13:51,1
1001,상행,신도림,일반,1054,용산,2025-05-19 09:15:07,1
1001,하행,신도림,일반,57,인천,2025-05-19 09:16:44,1
1001,하행,신도림,급행,1065,동인천,2025-05-19 09:17:27,1
1001,상행,신도림,일반,1056,용산,2025-05-19 09:17:43,1
1001,상행,신도림,일반,1050,용산,2025-05-19 09:19:40,1
1001,하행,신도림,일반,59,부평,2025-05-19 09:20:01,1
1001,하행,신도림,일반,631,천안,2025-05-19 09:23:31,1
1001,상행,신도림,일반,434,청량리,2025-05-19 09:27:47,1
1001,하행,신도림,급행,1417,구로,2025-05-19 09:28:58,1
1001,하행,신도림,일반,61,인천,2025-05-19 09:29:00,1
