subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1004,상행,금정,일반,4426,불암산,2025-05-20 07:30:12,1
1001,하행,금정,일반,617,천안,2025-05-20 07:31:21,1
1004,하행,금정,일반,4521,오이도,2025-05-20 07:32:49,1
1001,상행,금정,일반,610,광운대,2025-05-20 07:33:42,1
1001,하행,금정,일반,415,병점,2025-05-20 07:37:07,1
1004,상행,금정,일반,4528,불암산,2025-05-20 07:39:37,1
1004,상행,금정,일반,4310,불암산,2025-05-20 07:44:06,1
1004,하행,금정,일반,4523,오이도,2025-05-20 07:44:24,1
1001,하행,금정,일반,619,신창,2025-05-20 07:45:10,1
1004,상행,금정,일반,4530,불암산,2025-05-20 07:47:23,1
1004,하행,금정,일반,4301,안산,2025-05-20 07:48:52,1
1001,상행,금정,일반,422,광운대,2025-05-20 07:49:06,1
1001,하행,금정,일반,417,서동탄,2025-05-20 07:53:29,1
1004,상행,금정,일반,4532,불암산,2025-05-20 07:54:48,1
1001,상행,금정,일반,424,동묘앞,2025-05-20 07:58:06,1
1001,하행,금정,일반,621,천안,2025-05-20 08:00:15,1
1004,상행,금정,일반,4534,불암산,2025-05-20 08:01:00,1
1001,상행,금정,일반,612,청량리,2025-05-20 08:01:10,1
1004,하행,금정,일반,4525,오이도,2025-05-20 08:02:41,1
1004,상행,금정,일반,4536,불암산,2025-05-20 08:04:02,1
1001,상행,금정,일반,426,광운대,2025-05-20 08:05:59,1
1001,하행,금정,급행,1905,천안,2025-05-20 08:06:48,1
1004,하행,금정,일반,4527,오이도,2025-05-20 08:07:58,1
1004,상행,금정,일반,4538,불암산,2025-05-20 08:12:32,1
1004,상행,금정,일반,4540,불암산,2025-05-20 08:16:06,1
1001,하행,금정,일반,419,병점,2025-05-20 08:16:21,1
1004,하행,금정,일반,4303,안산,2025-05-20 08:16:35,1
1001,상행,금정,일반,428,광운대,2025-05-20 08:16:35,1
1001,상행,금정,일반,614,청량리,2025-05-20 08:21:04,1
1004,상행,금정,일반,4442,불암산,2025-05-20 08:21:22,1
1001,하행,금정,일반,623,신창,2025-05-20 08:22:00,1
1004,상행,금정,일반,4446,불암산,2025-05-20 08:22:39,1
1001,하행,금정,일반,421,서동탄,2025-05-20 08:27:13,1
1001,상행,금정,일반,430,구로,2025-05-20 08:27:33,1
1004,하행,금정,일반,4529,오이도,2025-05-20 08:28:07,1
1004,상행,금정,일반,4544,불암산,2025-05-20 08:29:41,1
1004,하행,금정,일반,4531,오이도,2025-05-20 08:31:31,1
1001,상행,금정,일반,616,광운대,2025-05-20 08:33:42,1
1001,하행,금정,일반,625,신창,2025-05-20 08:35:26,1
1004,하행,금정,일반,4533,오이도,2025-05-20 08:37:04,1
1001,하행,금정,급행,1907,천안,2025-05-20 08:39:18,1
1001,상행,금정,급행,1906,청량리,2025-05-20 08:41:53,1
1004,하행,금정,일반,4535,오이도,2025-05-20 08:41:54,1
1004,상행,금정,일반,4548,불암산,2025-05-20 08:42:25,1
1001,상행,금정,일반,432,광운대,2025-05-20 08:44:41,1
1001,하행,금정,일반,423,서동탄,2025-05-20 08:47:36,1
1004,하행,금정,일반,4305,안산,2025-05-20 08:47:52,1
1001,상행,금정,일반,618,구로,2025-05-20 08:49:09,1
1004,상행,금정,일반,4550,불암산,2025-05-20 08:49:24,1
1001,하행,금정,일반,425,서동탄,2025-05-20 08:53:39,1
1004,상행,금정,일반,4312,불암산,2025-05-20 08:54:34,1
1004,하행,금정,일반,4537,오이도,2025-05-20 08:56:07,1
1004,하행,금정,일반,4539,오이도,2025-05-20 08:59:30,1
1004,상행,금정,일반,4552,불암산,2025-05-20 09:02:41,1
1001,상행,금정,일반,434,청량리,2025-05-20 09:03:08,1
1001,하행,금정,일반,627,신창,2025-05-20 09:03:42,1
1004,하행,금정,일반,4307,안산,2025-05-20 09:04:45,1
1001,하행,금정,급행,1909,천안,2025-05-20 09:07:17,1
1001,상행,금정,일반,620,광운대,2025-05-20 09:10:14,1
1004,하행,금정,일반,4541,오이도,2025-05-20 09:11:01,1
1004,하행,금정,일반,4543,오이도,2025-05-20 09:15:04,1
1001,하행,금정,일반,427,서동탄,2025-05-20 09:15:40,1
1004,상행,금정,일반,4554,불암산,2025-05-20 09:18:14,1
1001,상행,금정,급행,1908,청량리,2025-05-20 09:19:06,1
1004,하행,금정,일반,4719,오이도,2025-05-20 09:22:08,1
1004,상행,금정,일반,4314,불암산,2025-05-20 09:22:41,1
1001,상행,금정,일반,622,광운대,2025-05-20 09:23:50,1
1001,하행,금정,일반,629,신창,2025-05-20 09:26:57,1
1004,하행,금정,일반,4309,안산,2025-05-20 09:26:59,1
1004,상행,금정,일반,4556,불암산,2025-05-20 09:27:59,1
