subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1002,외선,문래,일반,3061,성수,2025-05-20 07:33:43,5
1002,외선,문래,일반,2065,성수,2025-05-20 07:39:46,5
1002,외선,문래,일반,3071,성수,2025-05-20 07:46:48,5
1002,외선,문래,일반,2075,성수,2025-05-20 07:52:10,5
1002,외선,문래,일반,3079,성수,2025-05-20 07:57:17,5
1002,외선,문래,일반,2083,성수,2025-05-20 08:02:29,5
1002,외선,문래,일반,2091,성수,2025-05-20 08:13:18,5
1002,외선,문래,일반,3093,성수,2025-05-20 08:17:25,5
1002,외선,문래,일반,3095,성수,2025-05-20 08:22:27,5
1002,외선,문래,일반,2097,성수,2025-05-20 08:25:13,5
1002,외선,문래,일반,3099,성수,2025-05-20 08:28:34,5
1002,외선,문래,일반,3101,성수,2025-05-20 08:31:40,5
1002,외선,문래,일반,2103,성수,2025-05-20 08:35:32,5
1002,외선,문래,일반,2105,성수,2025-05-20 08:38:58,5
1002,외선,문래,일반,2107,성수,2025-05-20 08:42:29,5
1002,외선,문래,일반,6109,성수,2025-05-20 08:46:11,5
1002,외선,문래,일반,3111,성수,2025-05-20 08:49:37,5
1002,외선,문래,일반,2113,성수,2025-05-20 08:52:43,5
1002,외선,문래,일반,2115,성수,2025-05-20 08:54:44,5
1002,외선,문래,일반,6117,성수,2025-05-20 08:59:26,5
1002,외선,문래,일반,3119,성수,2025-05-20 09:02:12,5
1002,외선,문래,일반,2123,성수,2025-05-20 09:07:29,5
1002,외선,문래,일반,6125,성수,2025-05-20 09:10:25,5
1002,외선,문래,일반,2127,성수,2025-05-20 09:13:47,5
1002,외선,문래,일반,4129,신도림,2025-05-20 09:15:38,5
1002,외선,문래,일반,2131,성수,2025-05-20 09:18:44,5
1002,외선,문래,일반,2133,성수,2025-05-20 09:20:50,5
1002,외선,문래,일반,6135,성수,2025-05-20 09:23:21,5
1002,외선,문래,일반,2137,성수,2025-05-20 09:26:27,5
