subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1002,내선,방배,일반,3066,성수,2025-05-20 07:30:07,5
1002,내선,방배,일반,3068,성수,2025-05-20 07:32:28,5
1002,내선,방배,일반,2070,성수,2025-05-20 07:36:50,5
1002,내선,방배,일반,3072,성수,2025-05-20 07:40:36,5
1002,내선,방배,일반,2074,성수,2025-05-20 07:44:42,5
1002,내선,방배,일반,3076,성수,2025-05-20 07:48:04,5
1002,내선,방배,일반,3078,성수,2025-05-20 07:51:35,5
1002,내선,방배,일반,3080,성수,2025-05-20 07:54:26,5
1002,내선,방배,일반,3082,성수,2025-05-20 07:58:53,5
1002,내선,방배,일반,2086,성수,2025-05-20 08:04:10,5
1002,내선,방배,일반,3088,성수,2025-05-20 08:08:06,5
1002,내선,방배,일반,2090,성수,2025-05-20 08:11:48,5
1002,내선,방배,일반,2092,성수,2025-05-20 08:14:34,5
1002,내선,방배,일반,2094,성수,2025-05-20 08:17:55,5
1002,내선,방배,일반,3096,성수,2025-05-20 08:21:11,5
1002,내선,방배,일반,2098,성수,2025-05-20 08:24:58,5
1002,내선,방배,일반,3100,성수,2025-05-20 08:28:34,5
1002,내선,방배,일반,6102,성수,2025-05-20 08:31:40,5
1002,내선,방배,일반,2104,성수,2025-05-20 08:35:02,5
1002,내선,방배,일반,2106,성수,2025-05-20 08:40:59,5
1002,내선,방배,일반,3108,성수,2025-05-20 08:44:10,5
1002,내선,방배,일반,6110,성수,2025-05-20 08:46:41,5
1002,내선,방배,일반,2112,성수,2025-05-20 08:49:47,5
1002,내선,방배,일반,2114,성수,2025-05-20 08:52:43,5
1002,내선,방배,일반,3116,성수,2025-05-20 08:56:05,5
1002,내선,방배,일반,2118,성수,2025-05-20 08:59:11,5
1002,내선,방배,일반,6120,성수,2025-05-20 09:03:07,5
1002,내선,방배,일반,3122,성수,2025-05-20 09:05:39,5
1002,내선,방배,일반,2124,성수,2025-05-20 09:09:35,5
1002,내선,방배,일반,3126,성수,2025-05-20 09:13:27,5
1002,내선,방배,일반,2128,성수,2025-05-20 09:18:29,5
1002,내선,방배,일반,6130,성수,2025-05-20 09:21:55,5
1002,내선,방배,일반,3132,성수,2025-05-20 09:25:16,5
1002,내선,방배,일반,3134,성수,2025-05-20 09:27:47,5
