subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1005,하행,왕십리,일반,5021,하남검단산,2025-05-20 07:31:54,1
1005,상행,왕십리,일반,5032,방화,2025-05-20 07:32:45,1
1005,상행,왕십리,일반,5520,방화,2025-05-20 07:36:50,1
1005,하행,왕십리,일반,5535,마천,2025-05-20 07:38:02,1
1005,상행,왕십리,일반,5034,방화,2025-05-20 07:41:57,1
1005,하행,왕십리,일반,5023,하남검단산,2025-05-20 07:42:48,1
1005,상행,왕십리,일반,5522,방화,2025-05-20 07:46:22,1
1005,하행,왕십리,일반,5539,마천,2025-05-20 07:48:55,1
1005,상행,왕십리,일반,5038,방화,2025-05-20 07:51:28,1
1005,하행,왕십리,일반,5025,하남검단산,2025-05-20 07:53:21,1
1005,상행,왕십리,일반,5524,방화,2025-05-20 07:53:51,1
1005,상행,왕십리,일반,5042,방화,2025-05-20 07:57:56,1
1005,하행,왕십리,일반,5541,마천,2025-05-20 07:59:28,1
1005,상행,왕십리,일반,5526,방화,2025-05-20 08:00:40,1
1005,하행,왕십리,일반,5027,하남검단산,2025-05-20 08:04:14,1
1005,상행,왕십리,일반,5044,방화,2025-05-20 08:04:45,1
1005,하행,왕십리,일반,5543,마천,2025-05-20 08:07:18,1
1005,상행,왕십리,일반,5528,방화,2025-05-20 08:07:28,1
1005,상행,왕십리,일반,5046,방화,2025-05-20 08:11:13,1
1005,하행,왕십리,일반,5029,하남검단산,2025-05-20 08:12:04,1
1005,상행,왕십리,일반,5530,방화,2025-05-20 08:13:56,1
1005,하행,왕십리,일반,5545,마천,2025-05-20 08:17:30,1
1005,상행,왕십리,일반,5050,방화,2025-05-20 08:18:42,1
1005,상행,왕십리,일반,5532,방화,2025-05-20 08:20:03,1
1005,하행,왕십리,일반,5031,상일동,2025-05-20 08:22:57,1
1005,상행,왕십리,일반,5052,방화,2025-05-20 08:24:08,1
1005,상행,왕십리,일반,5534,방화,2025-05-20 08:26:11,1
1005,하행,왕십리,일반,5547,마천,2025-05-20 08:27:22,1
1005,상행,왕십리,일반,5054,방화,2025-05-20 08:28:54,1
1005,하행,왕십리,일반,5033,하남검단산,2025-05-20 08:30:47,1
1005,상행,왕십리,일반,5056,방화,2025-05-20 08:31:38,1
1005,상행,왕십리,일반,5536,방화,2025-05-20 08:33:20,1
1005,하행,왕십리,일반,5549,마천,2025-05-20 08:35:32,1
1005,상행,왕십리,일반,5058,방화,2025-05-20 08:36:44,1
1005,상행,왕십리,일반,5538,방화,2025-05-20 08:38:26,1
1005,하행,왕십리,일반,5035,하남검단산,2025-05-20 08:39:58,1
1005,상행,왕십리,일반,5060,방화,2025-05-20 08:41:09,1
1005,상행,왕십리,일반,5062,방화,2025-05-20 08:44:13,1
1005,하행,왕십리,일반,5551,마천,2025-05-20 08:45:25,1
1005,상행,왕십리,일반,5540,방화,2025-05-20 08:47:58,1
1005,하행,왕십리,일반,5037,상일동,2025-05-20 08:48:49,1
1005,상행,왕십리,일반,5064,방화,2025-05-20 08:50:41,1
1005,하행,왕십리,일반,5553,마천,2025-05-20 08:51:12,1
1005,하행,왕십리,일반,5039,하남검단산,2025-05-20 08:53:14,1
1005,상행,왕십리,일반,5542,방화,2025-05-20 08:53:24,1
1005,상행,왕십리,일반,5066,방화,2025-05-20 08:55:47,1
1005,하행,왕십리,일반,5555,마천,2025-05-20 08:56:59,1
1005,하행,왕십리,일반,5041,하남검단산,2025-05-20 08:59:22,1
1005,상행,왕십리,일반,5544,방화,2025-05-20 08:59:52,1
1005,하행,왕십리,일반,5557,마천,2025-05-20 09:01:24,1
1005,상행,왕십리,일반,5068,방화,2025-05-20 09:03:57,1
1005,하행,왕십리,일반,5043,상일동,2025-05-20 09:05:29,1
1005,상행,왕십리,일반,5546,방화,2025-05-20 09:08:02,1
1005,하행,왕십리,일반,5559,마천,2025-05-20 09:09:55,1
1005,상행,왕십리,일반,5070,방화,2025-05-20 09:12:07,1
1005,하행,왕십리,일반,5045,하남검단산,2025-05-20 09:12:18,1
1005,하행,왕십리,일반,5561,마천,2025-05-20 09:14:41,1
1005,상행,왕십리,일반,5548,방화,2025-05-20 09:16:53,1
1005,하행,왕십리,일반,5047,상일동,2025-05-20 09:17:24,1
1005,상행,왕십리,일반,5072,방화,2025-05-20 09:19:57,1
1005,하행,왕십리,일반,5563,마천,2025-05-20 09:20:28,1
1005,상행,왕십리,일반,5404,방화,2025-05-20 09:23:21,1
1005,하행,왕십리,일반,5049,하남검단산,2025-05-20 09:24:12,1
1005,하행,왕십리,일반,5565,마천,2025-05-20 09:26:35,1
1005,상행,왕십리,일반,5550,방화,2025-05-20 09:27:47,1
