subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1002,내선,대림,일반,3056,성수,2025-05-21 07:30:36,5
1002,내선,대림,일반,2060,성수,2025-05-21 07:36:58,5
1002,내선,대림,일반,3062,성수,2025-05-21 07:41:45,5
1002,내선,대림,일반,2064,성수,2025-05-21 07:44:41,5
1002,내선,대림,일반,3066,성수,2025-05-21 07:48:27,5
1002,내선,대림,일반,3068,성수,2025-05-21 07:51:13,5
1002,내선,대림,일반,2070,성수,2025-05-21 07:55:25,5
1002,내선,대림,일반,3072,성수,2025-05-21 07:59:17,5
1002,내선,대림,일반,2074,성수,2025-05-21 08:03:03,5
1002,내선,대림,일반,3076,성수,2025-05-21 08:06:24,5
1002,내선,대림,일반,3078,성수,2025-05-21 08:10:21,5
1002,내선,대림,일반,3080,성수,2025-05-21 08:12:57,5
1002,내선,대림,일반,2084,성수,2025-05-21 08:17:29,5
1002,내선,대림,일반,3082,성수,2025-05-21 08:20:25,5
1002,내선,대림,일반,2086,성수,2025-05-21 08:23:36,5
1002,내선,대림,일반,3088,성수,2025-05-21 08:27:03,5
1002,내선,대림,일반,2090,성수,2025-05-21 08:31:14,5
1002,내선,대림,일반,2094,성수,2025-05-21 08:36:16,5
1002,내선,대림,일반,3096,성수,2025-05-21 08:39:58,5
1002,내선,대림,일반,2098,성수,2025-05-21 08:43:14,5
1002,내선,대림,일반,3100,성수,2025-05-21 08:47:25,5
1002,내선,대림,일반,6102,성수,2025-05-21 08:50:17,5
1002,내선,대림,일반,2104,성수,2025-05-21 08:53:03,5
1002,내선,대림,일반,2106,성수,2025-05-21 08:56:09,5
1002,내선,대림,일반,3108,성수,2025-05-21 09:00:01,5
1002,내선,대림,일반,6110,성수,2025-05-21 09:05:03,5
1002,내선,대림,일반,2112,성수,2025-05-21 09:07:39,5
1002,내선,대림,일반,3116,성수,2025-05-21 09:14:36,5
1002,내선,대림,일반,2118,성수,2025-05-21 09:17:12,5
1002,내선,대림,일반,6120,성수,2025-05-21 09:21:04,5
1002,내선,대림,일반,3122,성수,2025-05-21 09:24:30,5
1002,내선,대림,일반,2124,성수,2025-05-21 09:27:41,5
