subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,상행,군포,일반,610,광운대,2025-05-22 07:30:41,1
1001,상행,군포,급행,1904,서울,2025-05-22 07:35:10,1
1001,하행,군포,일반,617,천안,2025-05-22 07:35:18,1
1001,상행,군포,일반,422,광운대,2025-05-22 07:40:38,1
1001,하행,군포,일반,415,병점,2025-05-22 07:40:52,1
1001,상행,군포,일반,424,청량리,2025-05-22 07:48:02,1
1001,하행,군포,일반,619,신창,2025-05-22 07:50:22,1
1001,하행,군포,일반,417,서동탄,2025-05-22 07:53:56,1
1001,상행,군포,일반,612,청량리,2025-05-22 07:58:23,1
1001,하행,군포,일반,621,천안,2025-05-22 08:03:11,1
1001,상행,군포,일반,426,광운대,2025-05-22 08:05:07,1
1001,상행,군포,일반,428,광운대,2025-05-22 08:12:34,1
1001,하행,군포,일반,419,병점,2025-05-22 08:16:14,1
1001,상행,군포,일반,614,청량리,2025-05-22 08:16:45,1
1001,하행,군포,일반,623,신창,2025-05-22 08:21:28,1
1001,상행,군포,일반,430,구로,2025-05-22 08:24:31,1
1001,하행,군포,일반,421,서동탄,2025-05-22 08:26:00,1
1001,상행,군포,일반,616,광운대,2025-05-22 08:30:44,1
1001,하행,군포,일반,625,신창,2025-05-22 08:37:33,1
1001,상행,군포,일반,432,광운대,2025-05-22 08:37:44,1
1001,상행,군포,일반,618,구로,2025-05-22 08:49:08,1
1001,하행,군포,일반,423,서동탄,2025-05-22 08:52:15,1
1001,하행,군포,일반,425,서동탄,2025-05-22 08:54:52,1
1001,상행,군포,일반,434,청량리,2025-05-22 08:58:12,1
1001,하행,군포,일반,627,신창,2025-05-22 09:06:58,1
1001,상행,군포,일반,620,광운대,2025-05-22 09:07:26,1
1001,상행,군포,일반,622,광운대,2025-05-22 09:14:27,1
1001,하행,군포,일반,427,서동탄,2025-05-22 09:18:43,1
1001,하행,군포,일반,629,신창,2025-05-22 09:26:14,1
