subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,하행,금천구청,일반,7005,광명,2025-05-22 07:32:57,1
1001,하행,금천구청,일반,619,신창,2025-05-22 07:33:10,1
1001,상행,금천구청,일반,608,광운대,2025-05-22 07:35:47,1
1001,하행,금천구청,일반,417,서동탄,2025-05-22 07:37:08,1
1001,상행,금천구청,일반,420,청량리,2025-05-22 07:44:24,1
1001,하행,금천구청,일반,621,천안,2025-05-22 07:45:55,1
1001,상행,금천구청,급행,1904,서울,2025-05-22 07:47:34,1
1001,상행,금천구청,일반,610,광운대,2025-05-22 07:47:57,1
1001,하행,금천구청,급행,1905,천안,2025-05-22 07:52:42,1
1001,상행,금천구청,일반,422,광운대,2025-05-22 07:57:09,1
1001,하행,금천구청,일반,419,병점,2025-05-22 07:59:36,1
1001,상행,금천구청,일반,7004,영등포,2025-05-22 08:02:37,1
1001,하행,금천구청,일반,623,신창,2025-05-22 08:03:56,1
1001,상행,금천구청,일반,424,청량리,2025-05-22 08:05:17,1
1001,하행,금천구청,일반,421,서동탄,2025-05-22 08:08:16,1
1001,상행,금천구청,일반,612,청량리,2025-05-22 08:15:57,1
1001,하행,금천구청,일반,625,신창,2025-05-22 08:18:51,1
1001,상행,금천구청,일반,426,광운대,2025-05-22 08:23:10,1
1001,하행,금천구청,급행,1907,천안,2025-05-22 08:24:49,1
1001,상행,금천구청,일반,7006,영등포,2025-05-22 08:26:44,1
1001,상행,금천구청,일반,428,광운대,2025-05-22 08:29:07,1
1001,하행,금천구청,일반,423,서동탄,2025-05-22 08:33:46,1
1001,상행,금천구청,일반,614,청량리,2025-05-22 08:34:49,1
1001,하행,금천구청,일반,425,서동탄,2025-05-22 08:38:44,1
1001,상행,금천구청,일반,430,구로,2025-05-22 08:41:22,1
1001,하행,금천구청,일반,7007,광명,2025-05-22 08:42:25,1
1001,상행,금천구청,일반,616,광운대,2025-05-22 08:47:39,1
1001,하행,금천구청,일반,627,신창,2025-05-22 08:49:18,1
1001,상행,금천구청,급행,1906,청량리,2025-05-22 08:52:14,1
1001,상행,금천구청,일반,432,광운대,2025-05-22 08:59:25,1
1001,하행,금천구청,일반,427,서동탄,2025-05-22 09:00:30,1
1001,상행,금천구청,일반,618,구로,2025-05-22 09:04:25,1
1001,하행,금천구청,일반,629,신창,2025-05-22 09:08:48,1
1001,상행,금천구청,일반,434,청량리,2025-05-22 09:14:11,1
1001,상행,금천구청,일반,620,광운대,2025-05-22 09:24:30,1
1001,하행,금천구청,일반,7009,광명,2025-05-22 09:24:35,1
1001,하행,금천구청,일반,429,서동탄,2025-05-22 09:28:16,1
1001,상행,금천구청,급행,1908,청량리,2025-05-22 09:29:47,1
