subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,하행,부평,급행,1031,동인천,2025-05-22 07:30:49,1
1001,상행,부평,일반,30,의정부,2025-05-22 07:31:59,1
1001,상행,부평,급행,1028,용산,2025-05-22 07:33:35,1
1001,하행,부평,일반,29,인천,2025-05-22 07:33:50,1
1001,하행,부평,급행,1255,부평,2025-05-22 07:34:22,1
1001,상행,부평,급행,1256,용산,2025-05-22 07:34:48,1
1001,상행,부평,급행,1604,동두천,2025-05-22 07:37:23,1
1001,상행,부평,급행,1030,용산,2025-05-22 07:39:24,1
1001,하행,부평,급행,1035,동인천,2025-05-22 07:41:15,1
1001,하행,부평,일반,31,인천,2025-05-22 07:43:19,1
1001,상행,부평,일반,32,양주,2025-05-22 07:44:10,1
1001,상행,부평,특급,1304,용산,2025-05-22 07:47:12,1
1001,하행,부평,급행,1037,동인천,2025-05-22 07:50:54,1
1001,하행,부평,일반,33,인천,2025-05-22 07:51:04,1
1001,상행,부평,일반,34,연천,2025-05-22 07:53:01,1
1001,하행,부평,급행,1039,동인천,2025-05-22 07:55:28,1
1001,상행,부평,급행,1034,용산,2025-05-22 07:56:10,1
1001,하행,부평,일반,35,인천,2025-05-22 07:57:46,1
1001,하행,부평,급행,1043,동인천,2025-05-22 07:59:46,1
1001,상행,부평,일반,36,의정부,2025-05-22 08:00:43,1
1001,상행,부평,특급,1306,용산,2025-05-22 08:02:08,1
1001,하행,부평,일반,37,인천,2025-05-22 08:05:04,1
1001,하행,부평,급행,1259,부평,2025-05-22 08:06:40,1
1001,상행,부평,급행,1260,용산,2025-05-22 08:07:04,1
1001,상행,부평,급행,1038,용산,2025-05-22 08:10:17,1
1001,상행,부평,일반,38,양주,2025-05-22 08:11:04,1
1001,하행,부평,급행,1047,동인천,2025-05-22 08:14:12,1
1001,하행,부평,일반,39,인천,2025-05-22 08:17:37,1
1001,상행,부평,급행,1042,용산,2025-05-22 08:18:42,1
1001,상행,부평,일반,40,소요산,2025-05-22 08:20:03,1
1001,하행,부평,급행,1049,동인천,2025-05-22 08:20:41,1
1001,하행,부평,급행,1261,부평,2025-05-22 08:25:20,1
1001,상행,부평,급행,1264,용산,2025-05-22 08:26:32,1
1001,상행,부평,급행,1044,용산,2025-05-22 08:27:14,1
1001,상행,부평,일반,42,동묘앞,2025-05-22 08:28:35,1
1001,하행,부평,일반,41,인천,2025-05-22 08:30:30,1
1001,상행,부평,급행,1046,용산,2025-05-22 08:33:17,1
1001,하행,부평,급행,1051,동인천,2025-05-22 08:35:19,1
1001,하행,부평,일반,43,인천,2025-05-22 08:36:41,1
1001,상행,부평,급행,1050,용산,2025-05-22 08:39:33,1
1001,상행,부평,일반,44,양주,2025-05-22 08:40:18,1
1001,하행,부평,급행,1053,동인천,2025-05-22 08:41:34,1
1001,하행,부평,급행,1055,동인천,2025-05-22 08:47:49,1
1001,상행,부평,일반,46,동묘앞,2025-05-22 08:49:25,1
1001,하행,부평,일반,1601,인천,2025-05-22 08:49:58,1
1001,상행,부평,급행,1054,용산,2025-05-22 08:52:17,1
1001,상행,부평,일반,48,연천,2025-05-22 08:55:08,1
1001,하행,부평,급행,1057,동인천,2025-05-22 08:55:50,1
1001,하행,부평,일반,45,인천,2025-05-22 08:57:15,1
1001,상행,부평,급행,1056,용산,2025-05-22 09:02:24,1
1001,상행,부평,일반,50,의정부,2025-05-22 09:04:01,1
1001,하행,부평,일반,47,부평,2025-05-22 09:06:18,1
1001,하행,부평,급행,1059,동인천,2025-05-22 09:09:20,1
1001,상행,부평,특급,1308,용산,2025-05-22 09:11:48,1
1001,하행,부평,일반,49,인천,2025-05-22 09:13:45,1
1001,상행,부평,일반,52,소요산,2025-05-22 09:17:26,1
1001,상행,부평,급행,1060,용산,2025-05-22 09:18:58,1
1001,하행,부평,일반,51,인천,2025-05-22 09:21:18,1
1001,하행,부평,급행,1061,동인천,2025-05-22 09:22:09,1
1001,하행,부평,급행,1063,동인천,2025-05-22 09:25:52,1
1001,상행,부평,일반,54,양주,2025-05-22 09:26:28,1
1001,상행,부평,급행,1062,용산,2025-05-22 09:26:29,1
1001,하행,부평,일반,53,부평,2025-05-22 09:27:39,1
