subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1003,상행,약수,일반,3052,구파발,2025-05-25 07:57:29,1
1006,하행,약수,일반,6033,봉화산,2025-05-25 07:58:01,1
1006,상행,약수,일반,6040,응암순환(상선),2025-05-25 08:00:26,1
1003,하행,약수,일반,3043,오금,2025-05-25 08:01:31,1
1003,상행,약수,일반,3054,대화,2025-05-25 08:01:48,1
1006,하행,약수,일반,6035,봉화산,2025-05-25 08:06:13,1
1003,하행,약수,일반,3045,오금,2025-05-25 08:07:00,1
1003,상행,약수,일반,3056,대화,2025-05-25 08:07:19,1
1006,상행,약수,일반,6042,응암순환(상선),2025-05-25 08:09:23,1
1003,상행,약수,일반,3058,대화,2025-05-25 08:13:04,1
1003,하행,약수,일반,3047,오금,2025-05-25 08:15:51,1
1006,하행,약수,일반,6037,신내,2025-05-25 08:16:17,1
1006,상행,약수,일반,6044,응암순환(상선),2025-05-25 08:17:59,1
1003,상행,약수,일반,3060,구파발,2025-05-25 08:19:17,1
1003,하행,약수,일반,3049,오금,2025-05-25 08:22:11,1
1006,하행,약수,일반,6039,봉화산,2025-05-25 08:24:53,1
1003,상행,약수,일반,3064,대화,2025-05-25 08:24:57,1
1006,상행,약수,일반,6046,응암순환(상선),2025-05-25 08:28:25,1
1003,상행,약수,일반,3066,구파발,2025-05-25 08:31:14,1
1003,하행,약수,일반,3051,오금,2025-05-25 08:31:33,1
1006,하행,약수,일반,6041,봉화산,2025-05-25 08:33:50,1
1003,하행,약수,일반,3053,오금,2025-05-25 08:34:36,1
1003,상행,약수,일반,3068,대화,2025-05-25 08:36:11,1
1006,상행,약수,일반,6048,응암순환(상선),2025-05-25 08:37:01,1
1003,하행,약수,일반,3055,오금,2025-05-25 08:41:34,1
1006,하행,약수,일반,6043,신내,2025-05-25 08:42:03,1
1003,상행,약수,일반,3070,구파발,2025-05-25 08:44:58,1
1006,상행,약수,일반,6050,응암순환(상선),2025-05-25 08:45:13,1
1003,하행,약수,일반,3057,오금,2025-05-25 08:48:16,1
1003,상행,약수,일반,3072,대화,2025-05-25 08:49:10,1
1006,하행,약수,일반,6045,봉화산,2025-05-25 08:52:07,1
1006,상행,약수,일반,6052,응암순환(상선),2025-05-25 08:54:10,1
1003,하행,약수,일반,3059,오금,2025-05-25 08:54:32,1
1003,상행,약수,일반,3074,구파발,2025-05-25 08:56:44,1
1003,하행,약수,일반,3061,오금,2025-05-25 08:59:31,1
1006,하행,약수,일반,6047,봉화산,2025-05-25 09:01:04,1
1006,상행,약수,일반,6054,응암순환(상선),2025-05-25 09:03:29,1
1003,상행,약수,일반,3076,대화,2025-05-25 09:03:29,1
1003,하행,약수,일반,3063,오금,2025-05-25 09:06:21,1
1006,하행,약수,일반,6049,신내,2025-05-25 09:08:54,1
1003,상행,약수,일반,3078,구파발,2025-05-25 09:11:03,1
1006,상행,약수,일반,6056,응암순환(상선),2025-05-25 09:12:26,1
1003,하행,약수,일반,3065,오금,2025-05-25 09:12:36,1
1003,상행,약수,일반,3080,대화,2025-05-25 09:15:58,1
1003,하행,약수,일반,3067,오금,2025-05-25 09:18:14,1
1006,하행,약수,일반,6051,봉화산,2025-05-25 09:18:35,1
1003,상행,약수,일반,3082,구파발,2025-05-25 09:21:05,1
1006,상행,약수,일반,6058,응암순환(상선),2025-05-25 09:21:46,1
1003,하행,약수,일반,3069,오금,2025-05-25 09:23:54,1
1003,상행,약수,일반,3084,대화,2025-05-25 09:27:18,1
1006,하행,약수,일반,6053,봉화산,2025-05-25 09:28:40,1
