열차번호,호선,방향,역사명,급행코드,도착역,예정시간,실제시간,지연시간(분)
7071,7,DOWN,중계,0,석남,2025-05-29 07:30:10,2025-05-29 07:30:00,-0.16666666666666666
6023,6,DOWN,돌곶이,0,신내,2025-05-29 07:30:10,2025-05-29 07:30:01,-0.15
8052,8,UP,장지,0,별내,2025-05-29 07:36:20,2025-05-29 07:30:01,-6.316666666666666
8050,8,UP,문정,0,별내,2025-05-29 07:33:10,2025-05-29 07:30:01,-3.15
8052,8,UP,문정,0,별내,2025-05-29 07:38:10,2025-05-29 07:30:01,-8.15
6025,6,DOWN,안암(고대병원앞),0,봉화산,2025-05-29 07:30:00,2025-05-29 07:30:01,0.016666666666666666
8052,8,UP,복정,0,별내,2025-05-29 07:34:30,2025-05-29 07:30:01,-4.483333333333333
8050,8,UP,장지,0,별내,2025-05-29 07:31:20,2025-05-29 07:30:01,-1.3166666666666667
8027,8,DOWN,남위례,0,모란,2025-05-29 07:39:50,2025-05-29 07:30:02,-9.8
8025,8,DOWN,남위례,0,모란,2025-05-29 07:34:20,2025-05-29 07:30:02,-4.3
8025,8,DOWN,복정,0,모란,2025-05-29 07:31:50,2025-05-29 07:30:02,-1.8
8027,8,DOWN,복정,0,모란,2025-05-29 07:37:20,2025-05-29 07:30:02,-7.3
8027,8,DOWN,장지,0,모란,2025-05-29 07:35:40,2025-05-29 07:30:02,-5.633333333333334
8037,8,DOWN,장자호수공원,0,모란,2025-05-29 07:34:40,2025-05-29 07:30:03,-4.616666666666666
8023,8,DOWN,수진,0,모란,2025-05-29 07:38:10,2025-05-29 07:30:04,-8.1
8021,8,DOWN,신흥,0,모란,2025-05-29 07:30:10,2025-05-29 07:30:04,-0.1
8023,8,DOWN,신흥,0,모란,2025-05-29 07:36:30,2025-05-29 07:30:04,-6.433333333333334
8021,8,DOWN,수진,0,모란,2025-05-29 07:31:40,2025-05-29 07:30:04,-1.6
8029,8,DOWN,석촌,0,모란,2025-05-29 07:33:20,2025-05-29 07:30:09,-3.183333333333333
8031,8,DOWN,잠실,0,모란,2025-05-29 07:36:10,2025-05-29 07:30:09,-6.016666666666667
8031,8,DOWN,석촌,0,모란,2025-05-29 07:38:50,2025-05-29 07:30:09,-8.683333333333334
8029,8,DOWN,잠실,0,모란,2025-05-29 07:30:40,2025-05-29 07:30:09,-0.5166666666666667
7040,7,UP,상도(중앙대앞),0,도봉산,2025-05-29 07:30:20,2025-05-29 07:30:10,-0.16666666666666666
7056,7,UP,부천시청,0,도봉산,2025-05-29 07:30:00,2025-05-29 07:30:10,0.16666666666666666
55,1,DOWN,보산,0,인천,2025-05-29 07:30:00,2025-05-29 07:30:10,0.16666666666666666
7058,7,UP,삼산체육관,0,장암,2025-05-29 07:30:30,2025-05-29 07:30:10,-0.3333333333333333
8025,8,DOWN,"남한산성입구(성남법원,검찰청)",0,모란,2025-05-29 07:39:10,2025-05-29 07:30:11,-8.983333333333333
8025,8,DOWN,단대오거리,0,모란,2025-05-29 07:40:50,2025-05-29 07:30:11,-10.65
8023,8,DOWN,단대오거리,0,모란,2025-05-29 07:34:50,2025-05-29 07:30:11,-4.65
8023,8,DOWN,산성,0,모란,2025-05-29 07:30:30,2025-05-29 07:30:11,-0.31666666666666665
8044,8,UP,천호(풍납토성),0,별내,2025-05-29 07:33:40,2025-05-29 07:30:11,-3.4833333333333334
8044,8,UP,암사,0,별내,2025-05-29 07:36:00,2025-05-29 07:30:11,-5.816666666666666
8025,8,DOWN,산성,0,모란,2025-05-29 07:36:30,2025-05-29 07:30:11,-6.316666666666666
8042,8,UP,암사,0,별내,2025-05-29 07:31:30,2025-05-29 07:30:11,-1.3166666666666667
8023,8,DOWN,"남한산성입구(성남법원,검찰청)",0,모란,2025-05-29 07:33:10,2025-05-29 07:30:11,-2.9833333333333334
8052,8,UP,산성,0,별내,2025-05-29 07:30:00,2025-05-29 07:30:13,0.21666666666666667
1020,1,UP,대방,1,용산,2025-05-29 07:30:30,2025-05-29 07:30:13,-0.2833333333333333
8054,8,UP,남위례,0,별내,2025-05-29 07:37:10,2025-05-29 07:30:13,-6.95
8054,8,UP,산성,0,별내,2025-05-29 07:35:00,2025-05-29 07:30:13,-4.783333333333333
8052,8,UP,남위례,0,별내,2025-05-29 07:32:10,2025-05-29 07:30:13,-1.95
18,1,UP,시청,0,동두천,2025-05-29 07:30:00,2025-05-29 07:30:14,0.23333333333333334
8050,8,UP,석촌,0,별내,2025-05-29 07:38:50,2025-05-29 07:30:15,-8.583333333333334
8048,8,UP,송파,0,별내,2025-05-29 07:31:40,2025-05-29 07:30:15,-1.4166666666666667
8050,8,UP,송파,0,별내,2025-05-29 07:37:00,2025-05-29 07:30:15,-6.75
8050,8,UP,가락시장,0,별내,2025-05-29 07:35:00,2025-05-29 07:30:15,-4.75
8048,8,UP,석촌,0,별내,2025-05-29 07:33:30,2025-05-29 07:30:15,-3.25
5027,5,DOWN,영등포구청,0,하남검단산,2025-05-29 07:30:00,2025-05-29 07:30:17,0.2833333333333333
5025,5,DOWN,마포,0,하남검단산,2025-05-29 07:30:40,2025-05-29 07:30:17,-0.38333333333333336
5543,5,DOWN,오목교(목동운동장앞),0,마천,2025-05-29 07:30:40,2025-05-29 07:30:17,-0.38333333333333336
5527,5,DOWN,오금,0,마천,2025-05-29 07:30:10,2025-05-29 07:30:17,0.11666666666666667
5525,5,DOWN,거여,0,마천,2025-05-29 07:30:00,2025-05-29 07:30:17,0.2833333333333333
5031,5,DOWN,마곡,0,상일동,2025-05-29 07:30:20,2025-05-29 07:30:17,-0.05
5535,5,DOWN,동대문역사문화공원,0,마천,2025-05-29 07:30:10,2025-05-29 07:30:17,0.11666666666666667
5017,5,DOWN,아차산(어린이대공원후문),0,하남검단산,2025-05-29 07:30:50,2025-05-29 07:30:17,-0.55
5547,5,DOWN,김포공항,0,마천,2025-05-29 07:30:10,2025-05-29 07:30:17,0.11666666666666667
4530,4,UP,상록수,0,불암산,2025-05-29 07:30:30,2025-05-29 07:30:21,-0.15
8,1,UP,회룡,0,연천,2025-05-29 07:30:00,2025-05-29 07:30:21,0.35
8054,8,UP,단대오거리,0,별내,2025-05-29 07:30:40,2025-05-29 07:30:22,-0.3
8054,8,UP,"남한산성입구(성남법원,검찰청)",0,별내,2025-05-29 07:32:20,2025-05-29 07:30:22,-1.9666666666666666
8056,8,UP,단대오거리,0,별내,2025-05-29 07:35:40,2025-05-29 07:30:22,-5.3
8056,8,UP,"남한산성입구(성남법원,검찰청)",0,별내,2025-05-29 07:37:20,2025-05-29 07:30:22,-6.966666666666667
3061,3,DOWN,백석,0,수서,2025-05-29 07:30:30,2025-05-29 07:30:23,-0.11666666666666667
6029,6,DOWN,한강진,0,봉화산,2025-05-29 07:30:30,2025-05-29 07:30:23,-0.11666666666666667
6039,6,DOWN,구산,0,신내,2025-05-29 07:30:20,2025-05-29 07:30:23,0.05
8027,8,DOWN,가락시장,0,모란,2025-05-29 07:32:00,2025-05-29 07:30:25,-1.5833333333333333
8027,8,DOWN,송파,0,모란,2025-05-29 07:30:10,2025-05-29 07:30:25,0.25
8029,8,DOWN,문정,0,모란,2025-05-29 07:38:50,2025-05-29 07:30:25,-8.416666666666666
8029,8,DOWN,가락시장,0,모란,2025-05-29 07:37:00,2025-05-29 07:30:25,-6.583333333333333
