subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1077,상행,강남,일반,21,신사,2025-06-01 21:03:33,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:02:53,99
1077,상행,강남,일반,12,신사,2025-06-01 21:03:33,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:02:53,99
1077,하행,강남,일반,11,광교,2025-06-01 21:02:07,99
1002,내선,강남,일반,4388,신도림,2025-06-01 21:02:53,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:02:53,99
1077,상행,강남,일반,21,신사,2025-06-01 21:03:33,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:03:18,99
1077,상행,강남,일반,12,신사,2025-06-01 21:03:33,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:03:18,99
1077,하행,강남,일반,11,광교,2025-06-01 21:03:52,99
1002,내선,강남,일반,4388,신도림,2025-06-01 21:03:18,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:03:18,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:03:38,99
1077,상행,강남,일반,21,신사,2025-06-01 21:03:33,99
1077,상행,강남,일반,12,신사,2025-06-01 21:03:33,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:03:38,99
1077,하행,강남,일반,11,광교,2025-06-01 21:04:02,99
1002,내선,강남,일반,4388,신도림,2025-06-01 21:03:38,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:03:38,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:04:03,99
1077,상행,강남,일반,21,신사,2025-06-01 21:03:33,99
1077,상행,강남,일반,12,신사,2025-06-01 21:03:33,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:04:03,99
1077,하행,강남,일반,11,광교,2025-06-01 21:04:02,99
1002,내선,강남,일반,4388,신도림,2025-06-01 21:04:03,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:04:03,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:04:18,99
1077,상행,강남,일반,21,신사,2025-06-01 21:05:04,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:04,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:04:18,99
1077,하행,강남,일반,11,광교,2025-06-01 21:04:02,99
1002,내선,강남,일반,4388,신도림,2025-06-01 21:04:18,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:04:18,99
1077,상행,강남,일반,21,신사,2025-06-01 21:05:20,4
1002,외선,강남,일반,3361,성수,2025-06-01 21:04:44,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:20,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:04:44,99
1077,하행,강남,일반,11,광교,2025-06-01 21:05:20,99
1002,내선,강남,일반,4388,신도림,2025-06-01 21:04:44,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:04:44,99
1077,상행,강남,일반,21,신사,2025-06-01 21:05:20,5
1002,외선,강남,일반,3361,성수,2025-06-01 21:05:04,99
1002,외선,강남,일반,7363,성수,2025-06-01 21:05:04,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:20,99
1077,하행,강남,일반,11,광교,2025-06-01 21:05:31,5
1002,내선,강남,일반,4388,신도림,2025-06-01 21:05:04,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:05:04,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:05:29,5
1077,상행,강남,일반,21,신사,2025-06-01 21:05:48,5
1002,외선,강남,일반,7363,성수,2025-06-01 21:05:29,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:48,99
1077,하행,강남,일반,11,광교,2025-06-01 21:05:40,5
1002,내선,강남,일반,4388,신도림,2025-06-01 21:05:29,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:05:29,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:05:44,5
1077,상행,강남,일반,21,신사,2025-06-01 21:05:48,5
1002,외선,강남,일반,7363,성수,2025-06-01 21:05:44,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:48,99
1077,하행,강남,일반,11,광교,2025-06-01 21:05:40,5
1002,내선,강남,일반,4388,신도림,2025-06-01 21:05:44,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:05:44,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:06:04,5
1077,상행,강남,일반,21,신사,2025-06-01 21:05:48,5
1002,외선,강남,일반,7363,성수,2025-06-01 21:06:04,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:48,99
1077,하행,강남,일반,11,광교,2025-06-01 21:05:40,5
1002,내선,강남,일반,4388,신도림,2025-06-01 21:06:04,99
1002,내선,강남,일반,2390,성수,2025-06-01 21:06:04,99
1002,외선,강남,일반,3361,성수,2025-06-01 21:06:24,5
1077,상행,강남,일반,21,신사,2025-06-01 21:05:48,5
1002,외선,강남,일반,7363,성수,2025-06-01 21:06:24,99
1077,상행,강남,일반,12,신사,2025-06-01 21:05:48,99
1077,하행,강남,일반,11,광교,2025-06-01 21:07:03,3
1002,내선,강남,일반,4388,신도림,2025-06-01 21:06:24,5
1002,내선,강남,일반,2390,성수,2025-06-01 21:06:24,99
1077,상행,강남,일반,21,신사,2025-06-01 21:07:36,0
1002,외선,강남,일반,3361,성수,2025-06-01 21:07:00,3
1002,외선,강남,일반,7363,성수,2025-06-01 21:07:00,99
1077,상행,강남,일반,12,신사,2025-06-01 21:07:36,99
1077,하행,강남,일반,11,광교,2025-06-01 21:07:22,1
1002,내선,강남,일반,4388,신도림,2025-06-01 21:07:00,5
1002,내선,강남,일반,2390,성수,2025-06-01 21:07:00,99
1077,상행,강남,일반,21,신사,2025-06-01 21:08:00,1
1002,외선,강남,일반,3361,성수,2025-06-01 21:07:15,3
1002,외선,강남,일반,7363,성수,2025-06-01 21:07:15,99
