subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1002,내선,합정,일반,3048,성수,2025-06-09 07:30:00,5
1002,외선,신촌,일반,2065,성수,2025-06-09 07:30:00,5
1002,내선,강남,일반,2070,성수,2025-06-09 07:30:00,5
1002,외선,을지로3가,일반,2075,성수,2025-06-09 07:30:00,5
1002,외선,왕십리,일반,2083,성수,2025-06-09 07:30:00,5
1002,내선,문래,일반,2052,성수,2025-06-09 07:30:00,5
1002,내선,을지로입구,일반,2042,성수,2025-06-09 07:30:00,5
1002,내선,사당,일반,2064,성수,2025-06-09 07:30:00,5
1002,외선,강남,일반,2039,성수,2025-06-09 07:30:00,5
1002,내선,한양대,일반,2036,성수,2025-06-09 07:30:00,5
1002,외선,구의,일반,2031,성수,2025-06-09 07:30:00,5
1004,하행,초지,일반,4515,오이도,2025-06-09 07:30:00,1
1003,상행,오금,일반,3080,대화,2025-06-09 07:30:00,1
1002,내선,을지로4가,일반,2040,성수,2025-06-09 07:30:00,5
1002,내선,구의,일반,3080,성수,2025-06-09 07:30:00,5
1002,내선,신도림,일반,3054,성수,2025-06-09 07:30:00,5
1002,외선,대림,일반,3055,성수,2025-06-09 07:30:00,5
1002,외선,서울대입구,일반,3047,성수,2025-06-09 07:30:00,5
1002,외선,홍대입구,일반,3061,성수,2025-06-09 07:30:00,5
1002,내선,방배,일반,3066,성수,2025-06-09 07:30:00,5
1002,내선,서초,일반,3068,성수,2025-06-09 07:30:00,5
1002,외선,잠실나루,일반,3033,성수,2025-06-09 07:30:00,5
1002,외선,충정로,일반,3071,성수,2025-06-09 07:30:00,5
1002,상행,신설동,일반,1522,성수지선,2025-06-09 07:30:00,5
1002,내선,선릉,일반,3072,성수,2025-06-09 07:30:00,5
1002,내선,잠실새내,일반,3076,성수,2025-06-09 07:30:00,5
1002,내선,신림,일반,2060,성수,2025-06-09 07:30:00,5
1002,내선,잠실나루,일반,3078,성수,2025-06-09 07:30:00,5
1001,상행,아산,급행,1906,청량리,2025-06-09 07:30:01,1
1001,상행,부평,일반,0030,의정부,2025-06-09 07:30:02,1
1001,하행,명학,일반,0617,천안,2025-06-09 07:30:02,1
1008,하행,송파,일반,8027,모란,2025-06-09 07:30:02,1
1001,하행,보산,일반,0053,부평,2025-06-09 07:30:03,1
1001,상행,신도림,급행,1022,용산,2025-06-09 07:30:05,1
1001,상행,명학,일반,0420,청량리,2025-06-09 07:30:05,1
1008,상행,별내,일반,8034,별내,2025-06-09 07:30:05,1
1001,하행,구로,급행,1043,동인천,2025-06-09 07:30:06,1
1001,하행,구로,급행,1037,동인천,2025-06-09 07:30:06,1
1007,하행,상봉,일반,7065,온수,2025-06-09 07:30:07,1
1007,하행,건대입구,일반,7059,석남,2025-06-09 07:30:07,1
1001,상행,동대문,일반,0412,청량리,2025-06-09 07:30:07,1
1007,하행,용마산,일반,7063,석남,2025-06-09 07:30:07,1
1007,하행,먹골,일반,7067,석남,2025-06-09 07:30:07,1
1007,하행,논현,일반,7055,석남,2025-06-09 07:30:07,1
1007,하행,장암,일반,7091,온수,2025-06-09 07:30:07,1
1007,하행,도봉산,일반,7079,석남,2025-06-09 07:30:07,1
1007,하행,부천종합운동장,일반,7035,석남,2025-06-09 07:30:07,1
1007,하행,상동,일반,7031,석남,2025-06-09 07:30:07,1
1007,하행,중계,일반,7071,석남,2025-06-09 07:30:07,1
1007,하행,공릉(서울산업대입구),일반,7069,온수,2025-06-09 07:30:07,1
1007,하행,장암,일반,7083,석남,2025-06-09 07:30:07,1
1007,하행,도봉산,일반,7077,온수,2025-06-09 07:30:07,1
1007,하행,굴포천,일반,7029,석남,2025-06-09 07:30:07,1
1007,하행,온수,일반,7041,석남,2025-06-09 07:30:07,1
1007,하행,신중동,일반,7033,석남,2025-06-09 07:30:07,1
1007,하행,대림,일반,7047,석남,2025-06-09 07:30:07,1
1007,하행,군자(능동),일반,7061,석남,2025-06-09 07:30:07,1
1007,하행,신대방삼거리,일반,7049,석남,2025-06-09 07:30:07,1
1007,하행,철산,일반,7043,석남,2025-06-09 07:30:07,1
1007,하행,마들,일반,7073,온수,2025-06-09 07:30:07,1
1005,상행,강동,일반,5522,방화,2025-06-09 07:30:08,1
1005,상행,마천,일반,5526,방화,2025-06-09 07:30:08,1
1006,상행,망원,일반,6036,응암순환(상선),2025-06-09 07:30:08,1
1006,상행,고려대,일반,6052,응암순환(상선),2025-06-09 07:30:08,1
1006,상행,상월곡(한국과학기술연구원),일반,6054,응암순환(상선),2025-06-09 07:30:08,1
1008,상행,남위례,일반,8052,별내,2025-06-09 07:30:08,1
1005,상행,마곡,일반,5508,방화,2025-06-09 07:30:08,1
1005,상행,여의나루,일반,5024,방화,2025-06-09 07:30:08,1
1004,상행,미아,일반,4016,불암산,2025-06-09 07:30:08,1
1006,상행,한강진,일반,6044,응암순환(상선),2025-06-09 07:30:08,1
1005,상행,오목교(목동운동장앞),일반,5022,방화,2025-06-09 07:30:08,1
1001,하행,시청,일반,0039,인천,2025-06-09 07:30:08,1
1005,상행,마천,일반,5528,방화,2025-06-09 07:30:08,1
1006,상행,신당,일반,6048,응암순환(상선),2025-06-09 07:30:08,1
1006,상행,새절(신사),일반,6032,응암순환(상선),2025-06-09 07:30:08,1
1006,상행,약수,일반,6046,응암순환(상선),2025-06-09 07:30:08,1
1001,하행,서울,일반,0419,병점,2025-06-09 07:30:08,1
1006,상행,삼각지,일반,6042,응암순환(상선),2025-06-09 07:30:08,1
1006,상행,창신,일반,6050,응암순환(상선),2025-06-09 07:30:08,1
1005,상행,광화문,일반,5026,방화,2025-06-09 07:30:08,1
1001,하행,종각,일반,0623,신창,2025-06-09 07:30:08,1
1001,상행,세마,일반,0612,청량리,2025-06-09 07:30:08,1
1006,상행,공덕,일반,6040,응암순환(상선),2025-06-09 07:30:08,1
1004,상행,쌍문,일반,4510,불암산,2025-06-09 07:30:08,1
1005,상행,굽은다리(강동구민회관앞),일반,5038,방화,2025-06-09 07:30:08,1
1005,상행,방이,일반,5524,방화,2025-06-09 07:30:08,1
1001,하행,종로5가,일반,0421,서동탄,2025-06-09 07:30:08,1
1001,상행,대방,일반,0606,광운대,2025-06-09 07:30:08,1
1006,상행,신내,일반,6064,응암순환(상선),2025-06-09 07:30:09,1
1004,상행,성신여대입구,일반,4512,불암산,2025-06-09 07:30:09,1
1004,상행,동대문역사문화공원,일반,4514,불암산,2025-06-09 07:30:09,1
1006,상행,신내,일반,6072,응암순환(상선),2025-06-09 07:30:09,1
1004,상행,회현,일반,4022,불암산,2025-06-09 07:30:10,1
1003,상행,주엽,일반,3038,대화,2025-06-09 07:30:10,1
1004,하행,선바위,일반,4523,오이도,2025-06-09 07:30:11,1
1004,상행,사당,일반,4306,불암산,2025-06-09 07:30:11,1
1004,하행,상록수,일반,4517,오이도,2025-06-09 07:30:12,1
1003,상행,백석,일반,3040,대화,2025-06-09 07:30:12,1
1001,하행,부평,급행,1031,동인천,2025-06-09 07:30:13,1
1004,하행,총신대입구(이수),일반,4015,사당,2025-06-09 07:30:14,1
1001,하행,가능,일반,0049,인천,2025-06-09 07:30:14,1
1008,상행,가락시장,일반,8048,별내,2025-06-09 07:30:14,1
1004,하행,사당,일반,4013,사당,2025-06-09 07:30:15,1
1004,하행,사당,일반,4301,안산,2025-06-09 07:30:15,1
1007,상행,상봉,일반,7026,장암,2025-06-09 07:30:17,1
1001,하행,창동,일반,1601,인천,2025-06-09 07:30:17,1
1007,상행,태릉입구,일반,7024,도봉산,2025-06-09 07:30:17,1
1003,하행,대치,일반,3025,오금,2025-06-09 07:30:17,1
1001,하행,영등포,일반,0621,천안,2025-06-09 07:30:17,1
1007,상행,도봉산,일반,7020,장암,2025-06-09 07:30:17,1
1001,하행,직산,일반,0757,천안,2025-06-09 07:30:17,1
1001,하행,주안,급행,1029,동인천,2025-06-09 07:30:17,1
1003,하행,고속터미널,일반,3029,오금,2025-06-09 07:30:18,1
1005,하행,애오개,일반,5539,마천,2025-06-09 07:30:18,1
1005,하행,김포공항,일반,5547,마천,2025-06-09 07:30:18,1
1007,상행,남성,일반,7038,장암,2025-06-09 07:30:18,1
1007,상행,석남,일반,7068,도봉산,2025-06-09 07:30:18,1
1003,하행,신사,일반,3031,오금,2025-06-09 07:30:18,1
1007,상행,장승배기,일반,7040,도봉산,2025-06-09 07:30:18,1
1003,하행,금호,일반,3033,오금,2025-06-09 07:30:18,1
1001,상행,동인천,특급,1304,용산,2025-06-09 07:30:18,1
1003,하행,남부터미널,일반,3027,오금,2025-06-09 07:30:18,1
1005,하행,방화,일반,5033,하남검단산,2025-06-09 07:30:18,1
1005,하행,광화문,일반,5023,하남검단산,2025-06-09 07:30:18,1
1007,상행,부천시청,일반,7056,도봉산,2025-06-09 07:30:18,1
1007,상행,석남,일반,7066,도봉산,2025-06-09 07:30:18,1
1007,상행,대림,일반,7044,도봉산,2025-06-09 07:30:18,1
1007,상행,온수,일반,7050,도봉산,2025-06-09 07:30:18,1
1005,하행,영등포구청,일반,5027,하남검단산,2025-06-09 07:30:18,1
1005,하행,강동,일반,5531,마천,2025-06-09 07:30:18,1
1007,상행,광명사거리,일반,7048,도봉산,2025-06-09 07:30:18,1
1001,상행,역곡,일반,0026,양주,2025-06-09 07:30:18,1
1005,하행,천호(풍납토성),일반,5529,마천,2025-06-09 07:30:18,1
1001,상행,종각,일반,0604,광운대,2025-06-09 07:30:19,1
1001,하행,용산,급행,1905,천안,2025-06-09 07:30:19,1
1001,상행,청량리,일반,0410,광운대,2025-06-09 07:30:19,1
1006,하행,증산(명지대앞),일반,6037,봉화산,2025-06-09 07:30:19,1
1001,상행,신설동,일반,0016,동두천,2025-06-09 07:30:19,1
1006,하행,상수,일반,6033,봉화산,2025-06-09 07:30:19,1
1006,하행,역촌,일반,6043,봉화산,2025-06-09 07:30:19,1
1006,하행,마포구청,일반,6035,신내,2025-06-09 07:30:19,1
1006,하행,새절(신사),일반,6041,봉화산,2025-06-09 07:30:19,1
1001,상행,시청,일반,0018,동두천,2025-06-09 07:30:19,1
1003,하행,동대입구,일반,3035,오금,2025-06-09 07:30:19,1
1003,하행,홍제,일반,3043,오금,2025-06-09 07:30:20,1
1003,하행,독립문,일반,3041,오금,2025-06-09 07:30:20,1
1006,하행,봉화산,일반,6021,봉화산,2025-06-09 07:30:20,1
1006,하행,돌곶이,일반,6023,신내,2025-06-09 07:30:20,1
1006,하행,안암(고대병원앞),일반,6025,봉화산,2025-06-09 07:30:20,1
1003,하행,구파발,일반,3049,오금,2025-06-09 07:30:21,1
1002,외선,방배,일반,2043,성수,2025-06-09 07:30:21,5
1002,외선,서초,일반,2041,성수,2025-06-09 07:30:21,5
1002,내선,신당,일반,2038,성수,2025-06-09 07:30:21,5
1002,외선,신도림,일반,2057,성수,2025-06-09 07:30:21,5
1002,내선,건대입구,일반,3082,성수,2025-06-09 07:30:21,5
1001,하행,동암,일반,0027,인천,2025-06-09 07:30:21,1
1008,하행,장지,일반,8025,모란,2025-06-09 07:30:23,1
1009,하행,신반포,일반,9025,개화,2025-06-09 07:30:24,1
1009,하행,가양,일반,9019,개화,2025-06-09 07:30:24,1
1008,하행,잠실,일반,8029,모란,2025-06-09 07:30:24,1
1009,상행,고속터미널,일반,9028,중앙보훈병원,2025-06-09 07:30:24,1
1003,하행,삼송,일반,3051,오금,2025-06-09 07:30:25,1
1001,하행,신도림,일반,0035,인천,2025-06-09 07:30:26,1
1001,하행,개봉,일반,0033,인천,2025-06-09 07:30:26,1
1004,상행,한대앞,일반,4530,불암산,2025-06-09 07:30:26,1
1001,하행,제기동,일반,0625,신창,2025-06-09 07:30:27,1
1004,하행,충무로,일반,4021,사당,2025-06-09 07:30:28,1
1005,상행,동대문역사문화공원,일반,5028,방화,2025-06-09 07:30:28,1
1005,상행,공덕,일반,5514,방화,2025-06-09 07:30:28,1
1005,상행,마천,일반,5530,방화,2025-06-09 07:30:28,1
1004,하행,회현,일반,4303,안산,2025-06-09 07:30:28,1
1005,상행,행당,일반,5518,방화,2025-06-09 07:30:28,1
1004,하행,이촌,일반,4527,오이도,2025-06-09 07:30:28,1
1004,하행,숙대입구,일반,4019,사당,2025-06-09 07:30:28,1
1004,하행,동작,일반,4525,오이도,2025-06-09 07:30:28,1
1005,상행,명일,일반,5040,강동,2025-06-09 07:30:28,1
1005,상행,상일동,일반,5042,방화,2025-06-09 07:30:28,1
1004,하행,한성대입구,일반,4023,사당,2025-06-09 07:30:29,1
1004,하행,동대문역사문화공원,일반,4529,오이도,2025-06-09 07:30:29,1
1001,하행,금천구청,일반,7005,광명,2025-06-09 07:30:29,1
1001,하행,금천구청,일반,0619,신창,2025-06-09 07:30:29,1
1008,상행,단대오거리,일반,8054,별내,2025-06-09 07:30:29,1
1008,상행,장지,일반,8050,별내,2025-06-09 07:30:29,1
1004,하행,미아,일반,4025,사당,2025-06-09 07:30:30,1
1001,상행,외대앞,일반,0014,동두천,2025-06-09 07:30:30,1
1004,하행,길음,일반,4533,오이도,2025-06-09 07:30:30,1
1004,하행,쌍문,일반,4027,사당,2025-06-09 07:30:30,1
