호선,방향,역사명,급행코드,sched_train,real_train,예정시간,실제시간,지연시간(분)
1,DOWN,가능,0,801,49,2025-06-09 07:36:30,2025-06-09 07:30:14,-6.266666666666667
1,DOWN,가능,0,957,957,2025-06-09 09:22:00,2025-06-09 09:23:13,1.2166666666666666
1,DOWN,가능,0,51,,2025-06-09 07:40:00,,
1,DOWN,가능,0,53,,2025-06-09 07:45:30,,
1,DOWN,가능,0,55,,2025-06-09 07:52:30,,
1,DOWN,가능,0,57,,2025-06-09 08:00:00,,
1,DOWN,가능,0,59,,2025-06-09 08:04:30,,
1,DOWN,가능,0,61,,2025-06-09 08:11:30,,
1,DOWN,가능,0,951,,2025-06-09 08:20:00,,
1,DOWN,가능,0,65,,2025-06-09 08:33:30,,
1,DOWN,가능,0,67,,2025-06-09 08:41:30,,
1,DOWN,가능,0,953,,2025-06-09 08:53:30,,
1,DOWN,가능,0,71,,2025-06-09 09:00:30,,
1,DOWN,가능,0,955,,2025-06-09 09:08:30,,
1,DOWN,가능,0,803,,2025-06-09 09:28:30,,
1,DOWN,가산디지털단지,0,417,417,2025-06-09 07:32:00,2025-06-09 07:33:42,1.7
1,DOWN,가산디지털단지,0,419,419,2025-06-09 07:51:30,2025-06-09 07:54:37,3.1166666666666667
1,DOWN,가산디지털단지,0,425,423,2025-06-09 08:32:00,2025-06-09 08:29:42,-2.3
1,DOWN,가산디지털단지,0,627,627,2025-06-09 08:40:30,2025-06-09 08:43:48,3.3
1,DOWN,가산디지털단지,0,7009,7009,2025-06-09 09:20:30,2025-06-09 09:19:39,-0.85
1,DOWN,가산디지털단지,0,621,,2025-06-09 07:40:00,,
1,DOWN,가산디지털단지,0,623,,2025-06-09 07:58:00,,
1,DOWN,가산디지털단지,0,421,,2025-06-09 08:03:30,,
1,DOWN,가산디지털단지,0,625,,2025-06-09 08:12:30,,
1,DOWN,가산디지털단지,0,423,,2025-06-09 08:25:30,,
1,DOWN,가산디지털단지,0,7007,,2025-06-09 08:36:30,,
1,DOWN,가산디지털단지,0,427,,2025-06-09 08:53:30,,
1,DOWN,가산디지털단지,0,629,,2025-06-09 09:03:30,,
1,DOWN,가산디지털단지,0,429,,2025-06-09 09:16:30,,
1,DOWN,가산디지털단지,0,631,,2025-06-09 09:28:00,,
1,DOWN,가산디지털단지,1,1905,,2025-06-09 07:48:00,,
1,DOWN,가산디지털단지,1,1907,,2025-06-09 08:21:00,,
1,DOWN,가산디지털단지,1,1909,,2025-06-09 08:47:00,,
1,DOWN,가산디지털단지,1,1911,,2025-06-09 09:11:00,,
1,DOWN,간석,0,27,27,2025-06-09 07:32:00,2025-06-09 07:32:29,0.48333333333333334
1,DOWN,간석,0,49,49,2025-06-09 09:18:30,2025-06-09 09:22:06,3.6
1,DOWN,간석,0,29,,2025-06-09 07:41:30,,
1,DOWN,간석,0,31,,2025-06-09 07:50:00,,
1,DOWN,간석,0,33,,2025-06-09 07:57:30,,
1,DOWN,간석,0,35,,2025-06-09 08:05:00,,
1,DOWN,간석,0,37,,2025-06-09 08:13:00,,
1,DOWN,간석,0,39,,2025-06-09 08:24:00,,
1,DOWN,간석,0,41,,2025-06-09 08:37:00,,
1,DOWN,간석,0,43,,2025-06-09 08:44:30,,
1,DOWN,간석,0,45,,2025-06-09 09:04:00,,
1,DOWN,간석,0,51,,2025-06-09 09:29:00,,
1,DOWN,간석,1,1601,,2025-06-09 08:57:30,,
1,DOWN,개봉,0,35,35,2025-06-09 07:36:30,2025-06-09 07:36:59,0.48333333333333334
1,DOWN,개봉,0,41,41,2025-06-09 08:08:30,2025-06-09 08:10:10,1.6666666666666667
1,DOWN,개봉,0,49,47,2025-06-09 08:50:00,2025-06-09 08:47:55,-2.0833333333333335
1,DOWN,개봉,0,37,,2025-06-09 07:44:30,,
1,DOWN,개봉,0,39,,2025-06-09 07:55:30,,
1,DOWN,개봉,0,43,,2025-06-09 08:16:00,,
1,DOWN,개봉,0,45,,2025-06-09 08:35:30,,
1,DOWN,개봉,0,47,,2025-06-09 08:43:30,,
1,DOWN,개봉,0,51,,2025-06-09 09:00:30,,
1,DOWN,개봉,0,53,,2025-06-09 09:06:30,,
1,DOWN,개봉,0,55,,2025-06-09 09:13:00,,
1,DOWN,개봉,0,57,,2025-06-09 09:20:30,,
1,DOWN,개봉,0,59,,2025-06-09 09:25:00,,
1,DOWN,개봉,0,,33,,2025-06-09 07:30:26,
1,DOWN,개봉,1,1037,1037,2025-06-09 07:31:30,2025-06-09 07:34:48,3.3
1,DOWN,개봉,1,1039,1039,2025-06-09 07:38:30,2025-06-09 07:39:52,1.3666666666666667
1,DOWN,개봉,1,1601,1053,2025-06-09 08:29:00,2025-06-09 08:27:47,-1.2166666666666666
1,DOWN,개봉,1,1061,1061,2025-06-09 09:01:30,2025-06-09 09:01:53,0.38333333333333336
1,DOWN,개봉,1,1043,,2025-06-09 07:44:00,,
1,DOWN,개봉,1,1259,,2025-06-09 07:49:30,,
1,DOWN,개봉,1,1047,,2025-06-09 07:58:30,,
1,DOWN,개봉,1,1049,,2025-06-09 08:05:30,,
1,DOWN,개봉,1,1261,,2025-06-09 08:10:30,,
1,DOWN,개봉,1,1051,,2025-06-09 08:19:30,,
1,DOWN,개봉,1,1053,,2025-06-09 08:25:30,,
1,DOWN,개봉,1,1055,,2025-06-09 08:30:30,,
1,DOWN,개봉,1,1057,,2025-06-09 08:40:30,,
1,DOWN,개봉,1,1059,,2025-06-09 08:52:30,,
1,DOWN,개봉,1,1063,,2025-06-09 09:11:30,,
1,DOWN,개봉,1,1065,,2025-06-09 09:24:30,,
1,DOWN,관악,0,619,619,2025-06-09 07:36:00,2025-06-09 07:36:14,0.23333333333333334
1,DOWN,관악,0,417,,2025-06-09 07:42:30,,
1,DOWN,관악,0,621,,2025-06-09 07:50:30,,
1,DOWN,관악,0,419,,2025-06-09 08:02:00,,
1,DOWN,관악,0,623,,2025-06-09 08:08:30,,
1,DOWN,관악,0,421,,2025-06-09 08:14:00,,
1,DOWN,관악,0,625,,2025-06-09 08:23:00,,
1,DOWN,관악,0,423,,2025-06-09 08:36:00,,
1,DOWN,관악,0,425,,2025-06-09 08:42:30,,
1,DOWN,관악,0,627,,2025-06-09 08:51:00,,
1,DOWN,관악,0,427,,2025-06-09 09:04:00,,
1,DOWN,관악,0,629,,2025-06-09 09:14:00,,
1,DOWN,관악,0,429,,2025-06-09 09:27:00,,
1,DOWN,광명,0,7005,,2025-06-09 07:32:00,,
1,DOWN,광명,0,7007,,2025-06-09 08:47:00,,
1,DOWN,광운대,0,45,1601,2025-06-09 07:38:30,2025-06-09 07:35:01,-3.4833333333333334
1,DOWN,광운대,0,49,427,2025-06-09 07:53:30,2025-06-09 07:52:45,-0.75
1,DOWN,광운대,0,53,51,2025-06-09 08:10:00,2025-06-09 08:09:57,-0.05
1,DOWN,광운대,0,951,633,2025-06-09 08:48:30,2025-06-09 08:46:38,-1.8666666666666667
1,DOWN,광운대,0,67,433,2025-06-09 09:05:30,2025-06-09 09:03:54,-1.6
1,DOWN,광운대,0,953,435,2025-06-09 09:17:30,2025-06-09 09:20:06,2.6
1,DOWN,광운대,0,71,953,2025-06-09 09:24:30,2025-06-09 09:20:06,-4.4
1,DOWN,광운대,0,47,,2025-06-09 07:47:00,,
1,DOWN,광운대,0,801,,2025-06-09 08:00:30,,
1,DOWN,광운대,0,51,,2025-06-09 08:04:00,,
1,DOWN,광운대,0,55,,2025-06-09 08:16:30,,
1,DOWN,광운대,0,57,,2025-06-09 08:24:00,,
1,DOWN,광운대,0,59,,2025-06-09 08:28:30,,
1,DOWN,광운대,0,61,,2025-06-09 08:36:00,,
1,DOWN,광운대,0,65,,2025-06-09 08:57:30,,
1,DOWN,광운대,0,69,,2025-06-09 09:13:00,,
1,DOWN,광운대,1,1601,,2025-06-09 07:32:30,,
1,DOWN,광운대,1,1603,,2025-06-09 08:43:30,,
1,DOWN,구로,0,35,35,2025-06-09 07:31:30,2025-06-09 07:32:54,1.4
1,DOWN,구로,0,621,621,2025-06-09 07:35:00,2025-06-09 07:35:36,0.6
1,DOWN,구로,0,53,629,2025-06-09 09:01:30,2025-06-09 09:02:13,0.7166666666666667
1,DOWN,구로,0,59,429,2025-06-09 09:20:00,2025-06-09 09:20:21,0.35
