subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1004,상행,총신대입구(이수),일반,4622,불암산,2025-06-15 17:00:00,1
1004,상행,신용산,일반,4620,불암산,2025-06-15 17:00:00,1
1003,상행,오금,일반,3254,대화,2025-06-15 17:00:00,1
1004,상행,동작,일반,4132,불암산,2025-06-15 17:00:00,1
1001,상행,회기,일반,0124,양주,2025-06-15 17:00:01,1
1004,상행,남태령,일반,4324,불암산,2025-06-15 17:00:01,1
1001,상행,신이문,일반,0460,광운대,2025-06-15 17:00:01,1
1006,상행,삼각지,일반,6158,응암순환(상선),2025-06-15 17:00:03,1
1006,상행,신내,일반,6168,응암순환(상선),2025-06-15 17:00:04,1
1006,상행,봉화산,일반,6166,응암순환(상선),2025-06-15 17:00:04,1
1006,상행,신내,일반,6174,응암순환(상선),2025-06-15 17:00:04,1
1001,상행,동두천,일반,0112,연천,2025-06-15 17:00:05,1
1004,하행,경마공원,일반,4323,안산,2025-06-15 17:00:06,1
1001,상행,월계,일반,0122,동두천,2025-06-15 17:00:06,1
1001,하행,인천,일반,0127,인천,2025-06-15 17:00:07,1
1007,상행,석남,일반,7230,도봉산,2025-06-15 17:00:07,1
1001,하행,독산,일반,0467,병점,2025-06-15 17:00:07,1
1007,상행,면목,일반,7200,장암,2025-06-15 17:00:07,1
1007,상행,고속터미널,일반,7208,장암,2025-06-15 17:00:07,1
1007,상행,학동,일반,7206,도봉산,2025-06-15 17:00:07,1
1007,상행,태릉입구,일반,7198,도봉산,2025-06-15 17:00:07,1
1007,상행,온수,일반,7220,장암,2025-06-15 17:00:07,1
1007,상행,부천시청,일반,7222,도봉산,2025-06-15 17:00:07,1
1007,상행,장승배기,일반,7212,장암,2025-06-15 17:00:07,1
1007,상행,석남,일반,7226,도봉산,2025-06-15 17:00:07,1
1001,하행,동대문,일반,0691,천안,2025-06-15 17:00:09,1
1005,상행,개롱,일반,5606,방화,2025-06-15 17:00:09,1
1005,상행,마천,일반,5610,방화,2025-06-15 17:00:09,1
1005,상행,청구,일반,5112,방화,2025-06-15 17:00:09,1
1005,상행,굽은다리(강동구민회관앞),일반,5116,방화,2025-06-15 17:00:09,1
1005,상행,목동,일반,5596,방화,2025-06-15 17:00:09,1
1001,하행,신설동,일반,0811,구로,2025-06-15 17:00:09,1
1005,상행,종로3가,일반,5600,방화,2025-06-15 17:00:09,1
1005,상행,여의나루,일반,5598,방화,2025-06-15 17:00:09,1
1002,외선,한양대,일반,2291,성수,2025-06-15 17:00:09,5
1002,외선,신림,일반,2273,성수,2025-06-15 17:00:09,5
1002,외선,을지로3가,일반,2287,성수,2025-06-15 17:00:09,5
1002,내선,홍대입구,일반,2276,성수,2025-06-15 17:00:09,5
1002,내선,서울대입구,일반,2286,성수,2025-06-15 17:00:09,5
1002,외선,영등포구청,일반,3279,성수,2025-06-15 17:00:09,5
1005,상행,개화산,일반,5104,방화,2025-06-15 17:00:09,1
1002,외선,교대,일반,2265,성수,2025-06-15 17:00:09,5
1002,외선,충정로,일반,3285,성수,2025-06-15 17:00:09,5
1002,내선,사당,일반,3288,성수,2025-06-15 17:00:09,5
1002,내선,강변,일반,4298,신도림,2025-06-15 17:00:09,5
1002,하행,양천구청,일반,5633,신도림지선,2025-06-15 17:00:09,5
1002,내선,잠실,일반,2296,성수,2025-06-15 17:00:09,5
1002,외선,신촌,일반,6283,성수,2025-06-15 17:00:09,5
1002,내선,아현,일반,8274,성수,2025-06-15 17:00:09,5
1002,내선,문래,일반,3280,성수,2025-06-15 17:00:09,5
1002,상행,신설동,일반,1630,성수지선,2025-06-15 17:00:09,5
1002,내선,대림,일반,8282,성수,2025-06-15 17:00:09,5
1002,외선,합정,일반,8281,성수,2025-06-15 17:00:09,5
1002,내선,강남,일반,8292,성수,2025-06-15 17:00:09,5
1002,외선,신당,일반,8289,성수,2025-06-15 17:00:09,5
1002,내선,왕십리,일반,3268,성수,2025-06-15 17:00:09,5
1002,외선,잠실새내,일반,3261,성수,2025-06-15 17:00:09,5
1001,하행,신도림,일반,0135,인천,2025-06-15 17:00:10,1
1001,하행,개봉,일반,0133,인천,2025-06-15 17:00:10,1
1006,하행,역촌,일반,6163,신내,2025-06-15 17:00:14,1
1009,하행,국회의사당,일반,9123,개화,2025-06-15 17:00:14,1
1003,하행,가락시장,일반,3209,오금,2025-06-15 17:00:15,1
1003,하행,잠원,일반,3217,오금,2025-06-15 17:00:15,1
